SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2019268N10155,2019,74,MITAG,2019-09-28 18:00:00,17.9,127.7,997.0
2019268N10155,2019,74,MITAG,2019-09-29 00:00:00,18.4,126.7,996.0
2019268N10155,2019,74,MITAG,2019-09-29 06:00:00,19.3,125.8,989.0
2019268N10155,2019,74,MITAG,2019-09-29 12:00:00,20.2,124.8,986.0
2019268N10155,2019,74,MITAG,2019-09-29 18:00:00,20.9,123.7,983.0
2019268N10155,2019,74,MITAG,2019-09-30 00:00:00,21.7,123.0,980.0
2019268N10155,2019,74,MITAG,2019-09-30 06:00:00,22.8,122.9,968.0
2019268N10155,2019,74,MITAG,2019-09-30 12:00:00,24.6,122.9,961.0
2019268N10155,2019,74,MITAG,2019-09-30 18:00:00,26.1,122.5,966.0
2019268N10155,2019,74,MITAG,2019-10-01 00:00:00,27.4,122.2,977.0
2019268N10155,2019,74,MITAG,2019-10-01 06:00:00,28.6,122.2,980.0
2019268N10155,2019,74,MITAG,2019-10-01 12:00:00,29.9,122.4,983.0
2019268N10155,2019,74,MITAG,2019-10-01 18:00:00,30.7,122.8,985.0
2019268N10155,2019,74,MITAG,2019-10-02 00:00:00,32.0,123.9,992.0
2019268N10155,2019,74,MITAG,2019-10-02 06:00:00,33.3,124.7,991.0
2019268N10155,2019,74,MITAG,2019-10-02 12:00:00,34.4,126.3,995.0
2019268N10155,2019,74,MITAG,2019-10-02 18:00:00,35.8,128.2,995.0
2019268N10155,2019,74,MITAG,2019-10-03 00:00:00,37.6,130.0,992.0
2019268N10155,2019,74,MITAG,2019-10-03 06:00:00,38.1,131.3,988.0
2019268N10155,2019,74,MITAG,2019-10-03 12:00:00,38.8,132.7,986.0
2019268N10155,2019,74,MITAG,2019-10-03 18:00:00,39.0,134.3,985.0
