SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2020296N09137,2020,97,MOLAVE,2020-10-24 12:00:00,13.3,128.9,999.0
2020296N09137,2020,97,MOLAVE,2020-10-24 18:00:00,13.5,127.7,998.0
2020296N09137,2020,97,MOLAVE,2020-10-25 00:00:00,13.5,126.4,996.0
2020296N09137,2020,97,MOLAVE,2020-10-25 06:00:00,13.4,124.8,985.0
2020296N09137,2020,97,MOLAVE,2020-10-25 12:00:00,13.3,123.2,984.0
2020296N09137,2020,97,MOLAVE,2020-10-25 18:00:00,13.2,121.8,980.0
2020296N09137,2020,97,MOLAVE,2020-10-26 00:00:00,13.1,120.4,977.0
2020296N09137,2020,97,MOLAVE,2020-10-26 06:00:00,13.2,118.9,969.0
2020296N09137,2020,97,MOLAVE,2020-10-26 12:00:00,13.3,117.6,966.0
2020296N09137,2020,97,MOLAVE,2020-10-26 18:00:00,13.4,116.0,968.0
2020296N09137,2020,97,MOLAVE,2020-10-27 00:00:00,13.4,114.6,958.0
2020296N09137,2020,97,MOLAVE,2020-10-27 06:00:00,13.5,113.2,952.0
2020296N09137,2020,97,MOLAVE,2020-10-27 12:00:00,13.8,112.1,957.0
2020296N09137,2020,97,MOLAVE,2020-10-27 18:00:00,14.1,111.0,955.0
2020296N09137,2020,97,MOLAVE,2020-10-28 00:00:00,14.6,109.8,975.0
2020296N09137,2020,97,MOLAVE,2020-10-28 06:00:00,15.2,108.6,974.0
