SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2016185N08145,2016,25,NEPARTAK,2016-07-05 18:00:00,18.0,131.9,922.0
2016185N08145,2016,25,NEPARTAK,2016-07-06 00:00:00,18.7,130.1,914.0
2016185N08145,2016,25,NEPARTAK,2016-07-06 06:00:00,19.5,128.5,907.0
2016185N08145,2016,25,NEPARTAK,2016-07-06 12:00:00,20.1,127.0,907.0
2016185N08145,2016,25,NEPARTAK,2016-07-06 18:00:00,20.7,125.6,911.0
2016185N08145,2016,25,NEPARTAK,2016-07-07 00:00:00,21.3,124.3,914.0
2016185N08145,2016,25,NEPARTAK,2016-07-07 06:00:00,21.6,123.4,918.0
2016185N08145,2016,25,NEPARTAK,2016-07-07 12:00:00,22.0,122.6,922.0
2016185N08145,2016,25,NEPARTAK,2016-07-07 18:00:00,22.4,121.7,933.0
2016185N08145,2016,25,NEPARTAK,2016-07-08 00:00:00,22.6,120.6,952.0
2016185N08145,2016,25,NEPARTAK,2016-07-08 06:00:00,23.2,120.0,974.0
2016185N08145,2016,25,NEPARTAK,2016-07-08 12:00:00,23.4,119.7,982.0
2016185N08145,2016,25,NEPARTAK,2016-07-08 18:00:00,23.7,119.5,989.0
2016185N08145,2016,25,NEPARTAK,2016-07-09 00:00:00,24.4,119.0,993.0
