SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2022285N17140,2022,91,NESAT,2022-10-14 06:00:00,19.2,129.4,998.0
2022285N17140,2022,91,NESAT,2022-10-14 12:00:00,18.8,128.7,997.0
2022285N17140,2022,91,NESAT,2022-10-14 18:00:00,18.8,127.0,995.0
2022285N17140,2022,91,NESAT,2022-10-15 00:00:00,18.8,125.6,995.0
2022285N17140,2022,91,NESAT,2022-10-15 06:00:00,18.8,124.2,992.0
2022285N17140,2022,91,NESAT,2022-10-15 12:00:00,18.9,123.2,991.0
2022285N17140,2022,91,NESAT,2022-10-15 18:00:00,19.2,122.2,990.0
2022285N17140,2022,91,NESAT,2022-10-16 00:00:00,19.3,121.1,988.0
2022285N17140,2022,91,NESAT,2022-10-16 06:00:00,19.6,120.0,979.0
2022285N17140,2022,91,NESAT,2022-10-16 12:00:00,19.8,118.9,978.0
2022285N17140,2022,91,NESAT,2022-10-16 18:00:00,19.8,117.8,977.0
2022285N17140,2022,91,NESAT,2022-10-17 00:00:00,19.6,117.0,973.0
2022285N17140,2022,91,NESAT,2022-10-17 06:00:00,19.4,116.3,968.0
2022285N17140,2022,91,NESAT,2022-10-17 12:00:00,19.1,115.5,964.0
2022285N17140,2022,91,NESAT,2022-10-17 18:00:00,18.6,114.6,961.0
2022285N17140,2022,91,NESAT,2022-10-18 00:00:00,18.2,113.8,966.0
2022285N17140,2022,91,NESAT,2022-10-18 06:00:00,18.0,113.1,972.0
2022285N17140,2022,91,NESAT,2022-10-18 12:00:00,17.6,112.4,976.0
2022285N17140,2022,91,NESAT,2022-10-18 18:00:00,17.3,111.7,989.0
2022285N17140,2022,91,NESAT,2022-10-19 00:00:00,17.1,110.9,998.0
