SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2004134N07132,2004,22,NIDA,2004-05-14 06:00:00,8.5,131.4,984.0
2004134N07132,2004,22,NIDA,2004-05-14 12:00:00,8.9,131.0,976.0
2004134N07132,2004,22,NIDA,2004-05-14 18:00:00,9.2,130.5,972.0
2004134N07132,2004,22,NIDA,2004-05-15 00:00:00,9.6,129.8,963.0
2004134N07132,2004,22,NIDA,2004-05-15 06:00:00,9.8,129.2,954.0
2004134N07132,2004,22,NIDA,2004-05-15 12:00:00,10.2,128.5,954.0
2004134N07132,2004,22,NIDA,2004-05-15 18:00:00,10.7,127.9,944.0
2004134N07132,2004,22,NIDA,2004-05-16 00:00:00,11.2,127.2,927.0
2004134N07132,2004,22,NIDA,2004-05-16 06:00:00,11.9,126.4,916.0
2004134N07132,2004,22,NIDA,2004-05-16 12:00:00,12.6,125.6,898.0
2004134N07132,2004,22,NIDA,2004-05-16 18:00:00,13.5,124.8,898.0
2004134N07132,2004,22,NIDA,2004-05-17 00:00:00,14.0,124.2,910.0
2004134N07132,2004,22,NIDA,2004-05-17 06:00:00,14.7,123.9,910.0
2004134N07132,2004,22,NIDA,2004-05-17 12:00:00,15.4,123.7,916.0
2004134N07132,2004,22,NIDA,2004-05-17 18:00:00,16.2,123.6,916.0
2004134N07132,2004,22,NIDA,2004-05-18 00:00:00,16.8,123.5,916.0
2004134N07132,2004,22,NIDA,2004-05-18 06:00:00,17.5,123.7,916.0
2004134N07132,2004,22,NIDA,2004-05-18 12:00:00,18.4,124.0,922.0
2004134N07132,2004,22,NIDA,2004-05-18 18:00:00,19.3,124.5,927.0
2004134N07132,2004,22,NIDA,2004-05-19 00:00:00,20.1,125.2,938.0
2004134N07132,2004,22,NIDA,2004-05-19 06:00:00,21.2,126.5,944.0
2004134N07132,2004,22,NIDA,2004-05-19 12:00:00,22.5,128.0,949.0
2004134N07132,2004,22,NIDA,2004-05-19 18:00:00,23.7,129.8,954.0
