SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2016355N07146,2016,96,NOCK-TEN,2016-12-23 00:00:00,11.7,133.2,994.0
2016355N07146,2016,96,NOCK-TEN,2016-12-23 06:00:00,12.0,132.1,974.0
2016355N07146,2016,96,NOCK-TEN,2016-12-23 12:00:00,12.6,131.0,967.0
2016355N07146,2016,96,NOCK-TEN,2016-12-23 18:00:00,13.0,129.9,954.0
2016355N07146,2016,96,NOCK-TEN,2016-12-24 00:00:00,13.1,128.9,935.0
2016355N07146,2016,96,NOCK-TEN,2016-12-24 06:00:00,13.3,128.2,933.0
2016355N07146,2016,96,NOCK-TEN,2016-12-24 12:00:00,13.4,127.5,929.0
2016355N07146,2016,96,NOCK-TEN,2016-12-24 18:00:00,13.6,126.7,922.0
2016355N07146,2016,96,NOCK-TEN,2016-12-25 00:00:00,13.5,126.0,918.0
2016355N07146,2016,96,NOCK-TEN,2016-12-25 06:00:00,13.5,125.1,922.0
2016355N07146,2016,96,NOCK-TEN,2016-12-25 12:00:00,13.5,124.0,933.0
2016355N07146,2016,96,NOCK-TEN,2016-12-25 18:00:00,13.5,122.7,915.0
2016355N07146,2016,96,NOCK-TEN,2016-12-26 00:00:00,13.5,121.4,959.0
2016355N07146,2016,96,NOCK-TEN,2016-12-26 06:00:00,14.0,119.9,967.0
2016355N07146,2016,96,NOCK-TEN,2016-12-26 12:00:00,14.4,118.7,985.0
2016355N07146,2016,96,NOCK-TEN,2016-12-26 18:00:00,14.7,117.2,988.0
2016355N07146,2016,96,NOCK-TEN,2016-12-27 00:00:00,14.9,116.3,982.0
2016355N07146,2016,96,NOCK-TEN,2016-12-27 06:00:00,14.7,115.8,985.0
2016355N07146,2016,96,NOCK-TEN,2016-12-27 12:00:00,14.2,115.4,996.0
