SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2012209N11131,2012,39,SAOLA,2012-07-30 12:00:00,20.6,124.6,978.0
2012209N11131,2012,39,SAOLA,2012-07-30 18:00:00,20.7,124.2,978.0
2012209N11131,2012,39,SAOLA,2012-07-31 00:00:00,20.9,124.1,978.0
2012209N11131,2012,39,SAOLA,2012-07-31 06:00:00,21.3,124.3,974.0
2012209N11131,2012,39,SAOLA,2012-07-31 12:00:00,21.7,124.1,974.0
2012209N11131,2012,39,SAOLA,2012-07-31 18:00:00,22.3,123.8,967.0
2012209N11131,2012,39,SAOLA,2012-08-01 00:00:00,22.8,123.7,959.0
2012209N11131,2012,39,SAOLA,2012-08-01 06:00:00,23.4,123.4,956.0
2012209N11131,2012,39,SAOLA,2012-08-01 12:00:00,24.0,123.0,956.0
2012209N11131,2012,39,SAOLA,2012-08-01 18:00:00,24.1,122.1,956.0
2012209N11131,2012,39,SAOLA,2012-08-02 00:00:00,24.0,122.1,974.0
2012209N11131,2012,39,SAOLA,2012-08-02 06:00:00,24.9,122.1,989.0
2012209N11131,2012,39,SAOLA,2012-08-02 12:00:00,25.7,121.4,989.0
2012209N11131,2012,39,SAOLA,2012-08-02 18:00:00,26.3,120.7,989.0
2012209N11131,2012,39,SAOLA,2012-08-03 00:00:00,26.9,119.9,996.0
