SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2006216N07151,2006,45,SAOMAI,2006-08-08 00:00:00,21.0,134.0,967.0
2006216N07151,2006,45,SAOMAI,2006-08-08 06:00:00,21.6,132.8,954.0
2006216N07151,2006,45,SAOMAI,2006-08-08 12:00:00,22.4,131.4,954.0
2006216N07151,2006,45,SAOMAI,2006-08-08 18:00:00,23.1,130.1,954.0
2006216N07151,2006,45,SAOMAI,2006-08-09 00:00:00,23.9,128.5,938.0
2006216N07151,2006,45,SAOMAI,2006-08-09 06:00:00,24.7,127.0,916.0
2006216N07151,2006,45,SAOMAI,2006-08-09 12:00:00,25.4,125.3,898.0
2006216N07151,2006,45,SAOMAI,2006-08-09 18:00:00,26.0,123.8,898.0
2006216N07151,2006,45,SAOMAI,2006-08-10 00:00:00,26.5,122.5,898.0
2006216N07151,2006,45,SAOMAI,2006-08-10 06:00:00,27.0,121.2,910.0
2006216N07151,2006,45,SAOMAI,2006-08-10 12:00:00,27.2,120.0,927.0
2006216N07151,2006,45,SAOMAI,2006-08-10 18:00:00,27.6,118.7,967.0
2006216N07151,2006,45,SAOMAI,2006-08-11 00:00:00,28.1,117.4,980.0
2006216N07151,2006,45,SAOMAI,2006-08-11 06:00:00,28.5,116.1,984.0
2006216N07151,2006,45,SAOMAI,2006-08-11 12:00:00,29.1,115.1,991.0
2006216N07151,2006,45,SAOMAI,2006-08-11 18:00:00,29.3,114.2,997.0
