SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2015211N13162,2015,54,SOUDELOR,2015-08-05 18:00:00,20.1,131.5,952.0
2015211N13162,2015,54,SOUDELOR,2015-08-06 00:00:00,20.5,130.2,956.0
2015211N13162,2015,54,SOUDELOR,2015-08-06 06:00:00,20.9,129.2,959.0
2015211N13162,2015,54,SOUDELOR,2015-08-06 12:00:00,21.2,128.1,956.0
2015211N13162,2015,54,SOUDELOR,2015-08-06 18:00:00,21.5,126.8,952.0
2015211N13162,2015,54,SOUDELOR,2015-08-07 00:00:00,21.9,125.8,948.0
2015211N13162,2015,54,SOUDELOR,2015-08-07 06:00:00,22.4,124.8,944.0
2015211N13162,2015,54,SOUDELOR,2015-08-07 12:00:00,22.9,123.8,944.0
2015211N13162,2015,54,SOUDELOR,2015-08-07 18:00:00,23.7,122.6,948.0
2015211N13162,2015,54,SOUDELOR,2015-08-08 00:00:00,24.0,121.0,952.0
2015211N13162,2015,54,SOUDELOR,2015-08-08 06:00:00,24.1,120.0,967.0
2015211N13162,2015,54,SOUDELOR,2015-08-08 12:00:00,24.8,119.4,970.0
2015211N13162,2015,54,SOUDELOR,2015-08-08 18:00:00,25.4,118.5,982.0
2015211N13162,2015,54,SOUDELOR,2015-08-09 00:00:00,25.8,117.6,993.0
2015211N13162,2015,54,SOUDELOR,2015-08-09 06:00:00,26.6,116.9,996.0
