SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2012230N21126,2012,50,TEMBIN,2012-08-21 18:00:00,22.1,125.0,952.0
2012230N21126,2012,50,TEMBIN,2012-08-22 00:00:00,22.3,124.6,956.0
2012230N21126,2012,50,TEMBIN,2012-08-22 06:00:00,22.5,124.4,956.0
2012230N21126,2012,50,TEMBIN,2012-08-22 12:00:00,22.5,124.2,956.0
2012230N21126,2012,50,TEMBIN,2012-08-22 18:00:00,22.5,123.9,956.0
2012230N21126,2012,50,TEMBIN,2012-08-23 00:00:00,22.6,123.6,956.0
2012230N21126,2012,50,TEMBIN,2012-08-23 06:00:00,22.7,123.2,941.0
2012230N21126,2012,50,TEMBIN,2012-08-23 12:00:00,22.7,122.5,933.0
2012230N21126,2012,50,TEMBIN,2012-08-23 18:00:00,22.4,121.4,937.0
2012230N21126,2012,50,TEMBIN,2012-08-24 00:00:00,22.2,120.6,948.0
2012230N21126,2012,50,TEMBIN,2012-08-24 06:00:00,22.3,119.9,959.0
2012230N21126,2012,50,TEMBIN,2012-08-24 12:00:00,22.4,119.5,963.0
2012230N21126,2012,50,TEMBIN,2012-08-24 18:00:00,22.5,118.9,967.0
2012230N21126,2012,50,TEMBIN,2012-08-25 00:00:00,22.5,118.4,967.0
2012230N21126,2012,50,TEMBIN,2012-08-25 06:00:00,22.3,117.8,967.0
2012230N21126,2012,50,TEMBIN,2012-08-25 12:00:00,21.9,117.1,967.0
2012230N21126,2012,50,TEMBIN,2012-08-25 18:00:00,21.4,116.8,963.0
2012230N21126,2012,50,TEMBIN,2012-08-26 00:00:00,21.0,116.8,959.0
2012230N21126,2012,50,TEMBIN,2012-08-26 06:00:00,20.8,116.8,952.0
2012230N21126,2012,50,TEMBIN,2012-08-26 12:00:00,20.6,117.0,956.0
2012230N21126,2012,50,TEMBIN,2012-08-26 18:00:00,20.5,117.5,959.0
2012230N21126,2012,50,TEMBIN,2012-08-27 00:00:00,20.4,118.1,967.0
2012230N21126,2012,50,TEMBIN,2012-08-27 06:00:00,20.8,118.8,970.0
2012230N21126,2012,50,TEMBIN,2012-08-27 12:00:00,21.3,119.9,970.0
2012230N21126,2012,50,TEMBIN,2012-08-27 18:00:00,21.8,120.9,978.0
2012230N21126,2012,50,TEMBIN,2012-08-28 00:00:00,22.8,122.0,982.0
2012230N21126,2012,50,TEMBIN,2012-08-28 06:00:00,24.0,122.9,982.0
2012230N21126,2012,50,TEMBIN,2012-08-28 12:00:00,25.2,123.6,982.0
2012230N21126,2012,50,TEMBIN,2012-08-28 18:00:00,26.4,123.7,985.0
2012230N21126,2012,50,TEMBIN,2012-08-29 00:00:00,27.5,123.8,985.0
2012230N21126,2012,50,TEMBIN,2012-08-29 06:00:00,28.8,124.1,985.0
2012230N21126,2012,50,TEMBIN,2012-08-29 12:00:00,30.4,124.8,985.0
2012230N21126,2012,50,TEMBIN,2012-08-29 18:00:00,32.2,125.1,985.0
2012230N21126,2012,50,TEMBIN,2012-08-30 00:00:00,33.9,126.3,993.0
2012230N21126,2012,50,TEMBIN,2012-08-30 06:00:00,35.7,127.8,996.0
