SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2013228N23124,2013,48,TRAMI,2013-08-19 06:00:00,19.9,128.1,985.0
2013228N23124,2013,48,TRAMI,2013-08-19 12:00:00,20.3,128.4,985.0
2013228N23124,2013,48,TRAMI,2013-08-19 18:00:00,21.0,128.6,982.0
2013228N23124,2013,48,TRAMI,2013-08-20 00:00:00,22.1,128.5,982.0
2013228N23124,2013,48,TRAMI,2013-08-20 06:00:00,23.0,127.6,982.0
2013228N23124,2013,48,TRAMI,2013-08-20 12:00:00,23.4,126.8,982.0
2013228N23124,2013,48,TRAMI,2013-08-20 18:00:00,24.4,126.1,978.0
2013228N23124,2013,48,TRAMI,2013-08-21 00:00:00,25.2,124.4,970.0
2013228N23124,2013,48,TRAMI,2013-08-21 06:00:00,25.6,122.9,967.0
2013228N23124,2013,48,TRAMI,2013-08-21 12:00:00,25.9,121.1,967.0
2013228N23124,2013,48,TRAMI,2013-08-21 18:00:00,25.7,119.6,970.0
2013228N23124,2013,48,TRAMI,2013-08-22 00:00:00,26.0,118.4,989.0
2013228N23124,2013,48,TRAMI,2013-08-22 06:00:00,26.6,117.0,989.0
