SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2004074N03143,2004,13,UNNAMED,2004-03-18 18:00:00,10.5,128.8,997.0
2004074N03143,2004,13,UNNAMED,2004-03-19 00:00:00,11.0,128.1,997.0
2004074N03143,2004,13,UNNAMED,2004-03-19 06:00:00,11.5,127.6,997.0
2004074N03143,2004,13,UNNAMED,2004-03-19 12:00:00,11.9,127.1,997.0
2004074N03143,2004,13,UNNAMED,2004-03-19 18:00:00,12.5,126.5,997.0
2004074N03143,2004,13,UNNAMED,2004-03-20 00:00:00,13.1,126.0,997.0
2004074N03143,2004,13,UNNAMED,2004-03-20 06:00:00,13.6,125.4,997.0
2004074N03143,2004,13,UNNAMED,2004-03-20 12:00:00,14.2,124.9,997.0
2004074N03143,2004,13,UNNAMED,2004-03-20 18:00:00,14.7,124.5,997.0
2004074N03143,2004,13,UNNAMED,2004-03-21 00:00:00,15.1,124.2,997.0
2004074N03143,2004,13,UNNAMED,2004-03-21 06:00:00,15.5,124.1,997.0
2004074N03143,2004,13,UNNAMED,2004-03-21 12:00:00,16.0,124.3,997.0
