SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2001204N19127,2001,39,YUTU,2001-07-23 12:00:00,20.0,121.2,997.0
2001204N19127,2001,39,YUTU,2001-07-23 18:00:00,20.2,119.8,997.0
2001204N19127,2001,39,YUTU,2001-07-24 00:00:00,20.4,118.4,984.0
2001204N19127,2001,39,YUTU,2001-07-24 06:00:00,20.6,117.0,972.0
2001204N19127,2001,39,YUTU,2001-07-24 12:00:00,20.6,115.8,958.0
2001204N19127,2001,39,YUTU,2001-07-24 18:00:00,20.7,114.7,958.0
2001204N19127,2001,39,YUTU,2001-07-25 00:00:00,20.6,113.9,958.0
2001204N19127,2001,39,YUTU,2001-07-25 06:00:00,20.8,113.2,963.0
2001204N19127,2001,39,YUTU,2001-07-25 12:00:00,21.2,112.5,963.0
2001204N19127,2001,39,YUTU,2001-07-25 18:00:00,21.4,111.2,967.0
2001204N19127,2001,39,YUTU,2001-07-26 00:00:00,21.6,110.2,980.0
2001204N19127,2001,39,YUTU,2001-07-26 06:00:00,21.9,109.4,991.0
2001204N19127,2001,39,YUTU,2001-07-26 12:00:00,22.2,108.7,997.0
