SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2011126N11129,2011,23,AERE,2011-05-07 00:00:00,12.6,126.7,996.0,,12.6,126.7,1000.0357666015625,13.0,126.5
2011126N11129,2011,23,AERE,2011-05-07 06:00:00,12.9,126.1,993.0,997.3345947265625,13.0,126.08756080611535,997.4873657226562,12.5,125.5
2011126N11129,2011,23,AERE,2011-05-07 12:00:00,13.3,125.4,989.0,998.6336059570312,13.75,125.33703961084085,997.803466796875,13.5,126.0
2011126N11129,2011,23,AERE,2011-05-07 18:00:00,13.6,124.7,989.0,997.3685913085938,14.0,124.58651841556636,996.904296875,14.0,124.5
2011126N11129,2011,23,AERE,2011-05-08 00:00:00,14.0,124.2,985.0,997.6954956054688,14.5,123.83599722029186,997.285888671875,14.5,124.5
2011126N11129,2011,23,AERE,2011-05-08 06:00:00,14.5,123.6,985.0,995.635498046875,15.25,123.08547602501736,994.2203369140625,15.0,123.5
2011126N11129,2011,23,AERE,2011-05-08 12:00:00,15.1,123.1,985.0,997.13818359375,16.0,122.8353022932592,994.1351318359375,16.0,123.0
2011126N11129,2011,23,AERE,2011-05-08 18:00:00,15.6,122.9,985.0,997.97607421875,17.0,122.0847810979847,994.7092895507812,17.0,122.5
2011126N11129,2011,23,AERE,2011-05-09 00:00:00,16.4,122.5,989.0,1000.898681640625,18.25,120.58373870743571,996.0340576171875,18.5,121.5
2011126N11129,2011,23,AERE,2011-05-09 06:00:00,17.3,122.3,993.0,998.7564086914062,19.0,120.83391243919388,993.9115600585938,19.0,121.0
2011126N11129,2011,23,AERE,2011-05-09 12:00:00,18.0,122.3,993.0,999.16357421875,19.5,120.58373870743571,995.0804443359375,19.5,121.5
2011126N11129,2011,23,AERE,2011-05-09 18:00:00,19.2,122.3,993.0,997.6832275390625,20.0,120.83391243919388,992.13525390625,20.5,121.5
2011126N11129,2011,23,AERE,2011-05-10 00:00:00,20.3,122.2,996.0,997.9597778320312,21.25,122.0847810979847,993.0614624023438,21.5,122.5
2011126N11129,2011,23,AERE,2011-05-10 06:00:00,21.2,122.9,996.0,993.8591918945312,22.25,122.33495482974287,990.0604858398438,22.5,123.0
2011126N11129,2011,23,AERE,2011-05-10 12:00:00,22.3,124.0,996.0,995.3088989257812,23.25,123.08547602501736,990.7360229492188,23.5,124.0
2011126N11129,2011,23,AERE,2011-05-10 18:00:00,23.5,124.9,996.0,996.4894409179688,25.0,123.83599722029186,988.0878295898438,25.0,125.0
2011126N11129,2011,23,AERE,2011-05-11 00:00:00,25.1,126.2,996.0,997.8515625,26.25,125.0868658790827,989.3484497070312,26.0,126.5
2011126N11129,2011,23,AERE,2011-05-11 06:00:00,26.6,127.7,996.0,997.1776733398438,27.75,126.08756080611535,992.8367919921875,28.0,128.5
2011126N11129,2011,23,AERE,2011-05-11 12:00:00,28.3,129.6,997.0,998.806640625,29.0,127.58860319666434,995.5941162109375,29.0,130.5
2011126N11129,2011,23,AERE,2011-05-11 18:00:00,29.9,132.0,996.0,999.082275390625,30.25,129.58999305072967,995.8224487304688,30.5,133.0
2011126N11129,2011,23,AERE,2011-05-12 00:00:00,31.2,134.5,996.0,1000.573486328125,31.5,132.09173036831132,996.548583984375,32.5,136.0
