SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2021248N11131,2021,71,CONSON,2021-09-05 18:00:00,10.0,128.6,996.0,1006.6967163085938,10.5,129.3398193189715,1004.810791015625,10.5,129.5
2021248N11131,2021,71,CONSON,2021-09-06 00:00:00,10.3,127.8,996.0,1007.9166259765625,11.0,129.3398193189715,1006.9503173828125,11.0,129.0
2021248N11131,2021,71,CONSON,2021-09-06 06:00:00,10.8,126.8,992.0,1005.1390380859375,11.75,128.589298123697,1003.836181640625,11.5,128.0
2021248N11131,2021,71,CONSON,2021-09-06 12:00:00,11.2,126.0,980.0,1006.422119140625,12.5,127.58860319666434,1004.0855712890625,11.5,127.5
2021248N11131,2021,71,CONSON,2021-09-06 18:00:00,11.6,124.9,991.0,1004.5142211914062,12.5,126.58790826963168,1001.8554077148438,12.0,127.0
2021248N11131,2021,71,CONSON,2021-09-07 00:00:00,12.0,124.2,993.0,1005.1104125976562,13.0,126.08756080611535,1003.90771484375,13.0,126.5
2021248N11131,2021,71,CONSON,2021-09-07 06:00:00,12.4,123.5,994.0,1003.0640869140625,13.75,125.0868658790827,1000.7171020507812,13.5,126.5
2021248N11131,2021,71,CONSON,2021-09-07 12:00:00,12.9,122.8,992.0,1003.4486083984375,14.25,124.08617095205003,1002.1658325195312,14.0,126.0
2021248N11131,2021,71,CONSON,2021-09-07 18:00:00,13.3,122.0,989.0,1001.9085693359375,14.25,123.33564975677552,995.057373046875,14.5,125.0
2021248N11131,2021,71,CONSON,2021-09-08 00:00:00,13.7,121.5,989.0,1001.7645874023438,14.75,122.58512856150104,1000.111328125,15.0,124.5
2021248N11131,2021,71,CONSON,2021-09-08 06:00:00,14.2,120.7,991.0,1000.9140625,15.0,122.0847810979847,997.79931640625,15.0,124.0
2021248N11131,2021,71,CONSON,2021-09-08 12:00:00,14.8,120.1,998.0,1004.0205688476562,15.25,121.83460736622654,1001.2427368164062,16.0,123.5
2021248N11131,2021,71,CONSON,2021-09-08 18:00:00,15.3,119.1,997.0,1003.57470703125,17.0,119.83321751216121,998.2313232421875,16.0,122.5
2021248N11131,2021,71,CONSON,2021-09-09 00:00:00,15.5,118.1,999.0,1003.852783203125,16.75,118.83252258512856,1003.8432006835938,17.0,122.0
2021248N11131,2021,71,CONSON,2021-09-09 12:00:00,15.9,115.1,999.0,1001.0720825195312,16.75,117.33148019457956,1001.7867431640625,18.0,119.0
2021248N11131,2021,71,CONSON,2021-09-09 18:00:00,15.8,114.0,996.0,1000.13134765625,17.25,116.58095899930507,998.0731811523438,17.5,118.0
2021248N11131,2021,71,CONSON,2021-09-10 00:00:00,15.7,112.9,997.0,999.2593994140625,17.5,116.08061153578873,1001.090576171875,18.0,117.5
2021248N11131,2021,71,CONSON,2021-09-10 06:00:00,15.7,112.2,996.0,998.09716796875,17.75,115.07991660875606,997.7374877929688,18.5,116.5
