SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2023201N13134,2023,32,DOKSURI,2023-07-24 12:00:00,16.5,125.8,930.0,,16.5,125.8,970.847900390625,16.5,125.5
2023201N13134,2023,32,DOKSURI,2023-07-24 18:00:00,16.9,125.1,932.0,970.0445556640625,17.0,125.33703961084085,967.4070434570312,17.0,125.0
2023201N13134,2023,32,DOKSURI,2023-07-25 00:00:00,17.6,124.6,928.0,972.03125,17.75,124.33634468380819,967.2445068359375,17.5,124.5
2023201N13134,2023,32,DOKSURI,2023-07-25 06:00:00,18.3,123.7,934.0,974.5889892578125,18.25,123.33564975677552,964.1161499023438,18.5,123.5
2023201N13134,2023,32,DOKSURI,2023-07-25 12:00:00,18.9,122.7,936.0,974.2064208984375,18.5,122.58512856150104,962.9305419921875,19.0,122.5
2023201N13134,2023,32,DOKSURI,2023-07-25 18:00:00,19.0,121.6,937.0,971.07666015625,18.75,122.0847810979847,960.2216186523438,19.0,121.5
2023201N13134,2023,32,DOKSURI,2023-07-26 00:00:00,18.9,121.4,949.0,973.39111328125,19.0,121.83460736622654,960.0050048828125,19.0,121.5
2023201N13134,2023,32,DOKSURI,2023-07-26 06:00:00,19.3,121.0,952.0,973.7329711914062,19.5,121.08408617095205,957.2404174804688,19.5,121.0
2023201N13134,2023,32,DOKSURI,2023-07-26 12:00:00,19.6,120.6,959.0,969.7056884765625,20.0,120.83391243919388,957.089111328125,20.0,120.5
2023201N13134,2023,32,DOKSURI,2023-07-26 18:00:00,20.0,120.0,966.0,970.0926513671875,20.75,120.08339124391938,962.1743774414062,20.0,120.0
2023201N13134,2023,32,DOKSURI,2023-07-27 00:00:00,20.7,119.7,966.0,973.552490234375,21.0,120.08339124391938,955.5516967773438,20.5,119.5
2023201N13134,2023,32,DOKSURI,2023-07-27 06:00:00,21.1,119.3,964.0,973.119873046875,22.0,118.83252258512856,954.5499877929688,21.0,119.0
2023201N13134,2023,32,DOKSURI,2023-07-27 12:00:00,21.8,119.1,947.0,974.4158325195312,23.0,118.08200138985406,949.0960693359375,22.0,118.5
2023201N13134,2023,32,DOKSURI,2023-07-27 18:00:00,22.8,119.0,949.0,980.195068359375,23.5,117.33148019457956,952.58837890625,22.5,118.0
2023201N13134,2023,32,DOKSURI,2023-07-28 00:00:00,24.2,118.8,952.0,986.097412109375,24.5,116.3307852675469,957.5003662109375,23.5,117.5
2023201N13134,2023,32,DOKSURI,2023-07-28 06:00:00,25.5,118.3,970.0,987.8384399414062,25.5,115.07991660875606,973.9028930664062,24.5,116.5
2023201N13134,2023,32,DOKSURI,2023-07-28 12:00:00,27.1,117.7,985.0,991.3428344726562,25.75,114.57956914523974,984.0535888671875,25.5,116.0
2023201N13134,2023,32,DOKSURI,2023-07-28 18:00:00,28.7,117.1,990.0,991.7237548828125,27.25,113.32870048644891,990.3876342773438,27.0,115.5
2023201N13134,2023,32,DOKSURI,2023-07-29 00:00:00,30.3,115.8,982.0,993.55517578125,27.25,112.82835302293259,992.1638793945312,28.0,115.5
