SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2014260N13135,2014,67,FUNG-WONG,2014-09-18 18:00:00,16.8,124.1,996.0,992.7969360351562,17.0,124.08617095205003,991.49755859375,17.0,124.0
2014260N13135,2014,67,FUNG-WONG,2014-09-19 00:00:00,17.9,122.6,996.0,993.6646118164062,18.0,122.58512856150104,992.8365478515625,17.5,122.5
2014260N13135,2014,67,FUNG-WONG,2014-09-19 06:00:00,18.6,121.3,996.0,990.6542358398438,18.75,120.83391243919388,990.8670043945312,18.5,121.5
2014260N13135,2014,67,FUNG-WONG,2014-09-19 12:00:00,18.6,120.3,996.0,988.87841796875,18.5,119.83321751216121,989.0148315429688,18.5,120.0
2014260N13135,2014,67,FUNG-WONG,2014-09-19 18:00:00,18.5,120.1,993.0,985.9601440429688,18.75,119.58304378040305,986.3185424804688,19.0,120.0
2014260N13135,2014,67,FUNG-WONG,2014-09-20 00:00:00,19.3,119.8,993.0,985.9488525390625,19.75,119.33287004864488,986.700439453125,20.0,120.0
2014260N13135,2014,67,FUNG-WONG,2014-09-20 06:00:00,20.1,119.7,993.0,981.4052124023438,20.25,119.08269631688671,983.7916259765625,21.0,120.0
2014260N13135,2014,67,FUNG-WONG,2014-09-20 12:00:00,20.6,119.7,981.0,980.1654663085938,21.0,119.33287004864488,983.62744140625,22.0,120.5
2014260N13135,2014,67,FUNG-WONG,2014-09-20 18:00:00,21.3,120.0,989.0,980.9586791992188,22.0,119.58304378040305,986.7568969726562,24.0,120.5
2014260N13135,2014,67,FUNG-WONG,2014-09-21 00:00:00,21.8,120.3,985.0,988.513916015625,23.5,119.83321751216121,988.2335205078125,25.5,121.5
2014260N13135,2014,67,FUNG-WONG,2014-09-21 06:00:00,22.7,121.3,985.0,987.9297485351562,25.0,120.08339124391938,982.7322387695312,26.0,122.0
2014260N13135,2014,67,FUNG-WONG,2014-09-21 12:00:00,24.2,121.9,985.0,992.7108764648438,26.25,120.33356497567755,983.5630493164062,27.5,123.5
2014260N13135,2014,67,FUNG-WONG,2014-09-21 18:00:00,26.0,122.0,985.0,995.404052734375,27.75,120.83391243919388,979.0081787109375,28.5,124.5
2014260N13135,2014,67,FUNG-WONG,2014-09-22 00:00:00,27.3,122.0,989.0,1001.9861450195312,28.0,120.83391243919388,977.5364990234375,29.5,125.5
2014260N13135,2014,67,FUNG-WONG,2014-09-22 06:00:00,28.3,122.0,989.0,1002.9310913085938,29.25,120.08339124391938,975.52685546875,30.0,126.0
2014260N13135,2014,67,FUNG-WONG,2014-09-22 12:00:00,29.1,122.1,993.0,1005.3394775390625,31.0,119.83321751216121,974.7447509765625,30.5,126.5
2014260N13135,2014,67,FUNG-WONG,2014-09-22 18:00:00,29.8,122.0,993.0,1005.7813110351562,31.25,118.83252258512856,973.9639892578125,31.0,127.0
2014260N13135,2014,67,FUNG-WONG,2014-09-23 00:00:00,30.5,121.7,996.0,1007.3597412109375,32.25,119.83321751216121,975.390869140625,31.5,127.0
