SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2015226N12151,2015,60,GONI,2015-08-19 18:00:00,18.9,126.1,937.0,969.4729614257812,19.0,126.08756080611535,946.5618896484375,19.0,126.5
2015226N12151,2015,60,GONI,2015-08-20 00:00:00,18.9,125.3,937.0,970.9057006835938,18.75,125.58721334259901,935.360595703125,19.0,125.5
2015226N12151,2015,60,GONI,2015-08-20 06:00:00,18.9,124.7,941.0,968.6493530273438,19.0,125.0868658790827,934.4136962890625,19.0,125.0
2015226N12151,2015,60,GONI,2015-08-20 12:00:00,19.0,124.0,944.0,967.7058715820312,19.0,124.08617095205003,931.712890625,19.0,124.5
2015226N12151,2015,60,GONI,2015-08-20 18:00:00,19.1,123.2,948.0,966.3743896484375,19.0,124.08617095205003,932.9746704101562,19.0,124.0
2015226N12151,2015,60,GONI,2015-08-21 00:00:00,19.2,122.9,952.0,972.4089965820312,19.0,123.58582348853369,924.6802978515625,19.5,124.0
2015226N12151,2015,60,GONI,2015-08-21 06:00:00,19.3,122.4,956.0,969.0932006835938,19.25,123.08547602501736,924.093994140625,20.0,123.5
2015226N12151,2015,60,GONI,2015-08-21 12:00:00,19.4,122.4,959.0,969.957763671875,19.5,122.8353022932592,924.0957641601562,20.0,123.5
2015226N12151,2015,60,GONI,2015-08-21 18:00:00,19.6,122.5,963.0,967.6760864257812,20.0,122.8353022932592,919.8662719726562,21.0,123.5
2015226N12151,2015,60,GONI,2015-08-22 00:00:00,20.1,122.6,963.0,969.8848266601562,20.0,122.8353022932592,915.0057983398438,21.5,123.5
2015226N12151,2015,60,GONI,2015-08-22 06:00:00,20.7,122.7,963.0,971.5396118164062,21.0,122.8353022932592,923.1370849609375,22.5,123.5
2015226N12151,2015,60,GONI,2015-08-22 12:00:00,21.4,123.1,967.0,971.3228759765625,22.0,122.8353022932592,921.687744140625,23.0,123.5
2015226N12151,2015,60,GONI,2015-08-22 18:00:00,22.3,123.2,970.0,972.919677734375,23.0,122.8353022932592,928.292236328125,24.0,123.5
2015226N12151,2015,60,GONI,2015-08-23 00:00:00,23.2,123.3,963.0,977.829345703125,23.75,122.33495482974287,932.2846069335938,24.5,123.5
2015226N12151,2015,60,GONI,2015-08-23 06:00:00,23.8,123.5,956.0,979.1743774414062,24.0,122.0847810979847,932.9735107421875,25.0,124.0
2015226N12151,2015,60,GONI,2015-08-23 12:00:00,24.5,124.0,944.0,983.4921875,24.5,122.8353022932592,933.5996704101562,26.0,124.5
2015226N12151,2015,60,GONI,2015-08-23 18:00:00,25.2,124.6,937.0,984.5067749023438,25.5,124.08617095205003,948.7039794921875,26.5,125.5
2015226N12151,2015,60,GONI,2015-08-24 00:00:00,26.2,125.9,937.0,985.9235229492188,26.75,125.0868658790827,945.2394409179688,28.0,126.0
2015226N12151,2015,60,GONI,2015-08-24 06:00:00,27.9,127.4,937.0,984.542724609375,28.0,126.08756080611535,940.9330444335938,28.5,127.0
2015226N12151,2015,60,GONI,2015-08-24 12:00:00,29.6,128.8,941.0,985.163330078125,29.25,127.088255733148,937.9115600585938,29.5,127.5
2015226N12151,2015,60,GONI,2015-08-24 18:00:00,31.6,130.0,941.0,983.180908203125,30.75,128.08895066018067,933.8030395507812,30.5,128.5
2015226N12151,2015,60,GONI,2015-08-25 00:00:00,33.9,130.5,959.0,981.8495483398438,32.25,128.83947185545517,941.083984375,31.5,129.0
2015226N12151,2015,60,GONI,2015-08-25 06:00:00,35.2,131.0,974.0,979.112060546875,33.0,129.84016678248784,946.9449462890625,33.0,129.5
2015226N12151,2015,60,GONI,2015-08-25 12:00:00,36.5,131.8,985.0,980.204833984375,34.0,130.59068797776231,960.2228393554688,34.0,129.5
2015226N12151,2015,60,GONI,2015-08-25 18:00:00,37.8,132.6,985.0,977.7022094726562,35.25,130.84086170952048,964.6249389648438,35.0,130.0
2015226N12151,2015,60,GONI,2015-08-26 00:00:00,39.1,133.5,989.0,978.750732421875,36.0,130.84086170952048,969.6553955078125,36.0,129.5
