SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2017232N19130,2017,62,HATO,2017-08-21 06:00:00,20.3,124.1,996.0,,20.3,124.1,990.4682006835938,20.5,123.0
2017232N19130,2017,62,HATO,2017-08-21 12:00:00,20.3,122.9,989.0,,20.3,122.9,990.4682006835938,20.5,123.0
2017232N19130,2017,62,HATO,2017-08-21 18:00:00,20.1,121.3,989.0,989.2455444335938,20.5,121.83460736622654,988.0223388671875,20.0,121.5
2017232N19130,2017,62,HATO,2017-08-22 00:00:00,20.3,120.0,985.0,988.9991455078125,20.5,120.58373870743571,986.252685546875,21.0,120.0
2017232N19130,2017,62,HATO,2017-08-22 06:00:00,20.4,118.7,981.0,986.3142700195312,21.0,119.08269631688671,980.77978515625,21.0,119.0
2017232N19130,2017,62,HATO,2017-08-22 12:00:00,20.6,117.3,967.0,987.0809936523438,21.0,117.58165392633772,977.2782592773438,21.0,117.5
2017232N19130,2017,62,HATO,2017-08-22 18:00:00,21.0,116.0,963.0,985.083984375,21.25,116.08061153578873,967.1732788085938,21.5,116.0
2017232N19130,2017,62,HATO,2017-08-23 00:00:00,21.5,114.5,956.0,987.4407958984375,22.0,114.57956914523974,959.9901733398438,22.0,114.5
2017232N19130,2017,62,HATO,2017-08-23 06:00:00,22.2,112.9,964.0,990.0387573242188,22.25,112.82835302293259,955.87939453125,22.5,113.0
2017232N19130,2017,62,HATO,2017-08-23 12:00:00,22.7,110.9,978.0,991.904052734375,22.5,110.5767894371091,976.2904052734375,23.0,111.0
2017232N19130,2017,62,HATO,2017-08-23 18:00:00,23.1,109.1,989.0,991.5164794921875,22.5,108.82557331480194,977.3109130859375,23.0,109.5
2017232N19130,2017,62,HATO,2017-08-24 00:00:00,23.4,107.6,996.0,993.9854125976562,22.5,107.07435719249477,982.158447265625,23.5,108.0
