SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2008268N12140,2008,68,JANGMI,2008-09-26 06:00:00,16.9,128.9,952.0,,16.9,128.9,981.2288208007812,18.0,128.0
2008268N12140,2008,68,JANGMI,2008-09-26 12:00:00,17.7,128.0,944.0,,17.7,128.0,981.2288208007812,18.0,128.0
2008268N12140,2008,68,JANGMI,2008-09-26 18:00:00,18.7,127.2,933.0,983.5044555664062,19.0,127.088255733148,979.1884155273438,19.0,127.5
2008268N12140,2008,68,JANGMI,2008-09-27 00:00:00,19.6,126.5,922.0,981.861572265625,19.5,126.08756080611535,977.499755859375,20.0,126.0
2008268N12140,2008,68,JANGMI,2008-09-27 06:00:00,20.7,125.6,918.0,982.1107788085938,20.25,125.0868658790827,976.8599853515625,21.0,125.0
2008268N12140,2008,68,JANGMI,2008-09-27 12:00:00,21.3,124.4,918.0,978.6043090820312,21.0,124.08617095205003,976.7929077148438,21.0,124.0
2008268N12140,2008,68,JANGMI,2008-09-27 18:00:00,21.7,123.7,922.0,977.3688354492188,21.0,123.33564975677552,977.7689819335938,21.5,123.0
2008268N12140,2008,68,JANGMI,2008-09-28 00:00:00,22.8,123.2,926.0,973.97509765625,22.0,122.8353022932592,981.3591918945312,22.5,122.5
2008268N12140,2008,68,JANGMI,2008-09-28 06:00:00,23.9,122.4,937.0,976.8599243164062,23.0,122.0847810979847,982.6592407226562,23.5,122.0
2008268N12140,2008,68,JANGMI,2008-09-28 12:00:00,24.2,121.4,959.0,984.18994140625,24.0,120.83391243919388,989.1161499023438,24.5,120.5
2008268N12140,2008,68,JANGMI,2008-09-28 18:00:00,24.8,121.3,967.0,982.7257690429688,24.5,120.58373870743571,990.4307250976562,23.5,120.0
2008268N12140,2008,68,JANGMI,2008-09-29 00:00:00,25.6,121.1,978.0,987.7669677734375,25.0,120.08339124391938,993.6663818359375,24.0,120.0
2008268N12140,2008,68,JANGMI,2008-09-29 06:00:00,26.5,121.5,982.0,993.263427734375,25.0,120.08339124391938,993.3152465820312,24.5,119.5
2008268N12140,2008,68,JANGMI,2008-09-29 12:00:00,27.2,122.0,985.0,998.7732543945312,26.0,120.08339124391938,996.3407592773438,25.0,119.5
2008268N12140,2008,68,JANGMI,2008-09-29 18:00:00,27.8,122.8,989.0,1001.369873046875,26.5,120.33356497567755,1001.6329956054688,25.5,119.0
2008268N12140,2008,68,JANGMI,2008-09-30 00:00:00,28.7,123.9,989.0,1005.1875610351562,27.0,121.08408617095205,1005.8510131835938,25.5,119.5
2008268N12140,2008,68,JANGMI,2008-09-30 06:00:00,29.5,125.1,993.0,1005.0396728515625,28.0,122.8353022932592,1005.181396484375,24.0,122.0
2008268N12140,2008,68,JANGMI,2008-09-30 12:00:00,29.8,126.7,993.0,1006.0240478515625,28.5,123.83599722029186,1007.36767578125,26.0,120.0
2008268N12140,2008,68,JANGMI,2008-09-30 18:00:00,29.9,128.4,996.0,1005.5985107421875,29.0,125.33703961084085,1007.0831298828125,24.0,122.0
2008268N12140,2008,68,JANGMI,2008-10-01 00:00:00,29.9,130.4,996.0,1006.2162475585938,29.5,127.58860319666434,1008.9765625,22.5,121.5
