SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2019329N09160,2019,102,KAMMURI,2019-11-30 06:00:00,13.5,135.0,979.0,,13.5,135.0,987.6483764648438,13.0,134.0
2019329N09160,2019,102,KAMMURI,2019-11-30 12:00:00,13.3,133.7,980.0,,13.3,133.7,987.6483764648438,13.0,134.0
2019329N09160,2019,102,KAMMURI,2019-11-30 18:00:00,13.2,132.4,980.0,987.617919921875,13.25,132.59207783182765,987.6799926757812,13.0,133.0
2019329N09160,2019,102,KAMMURI,2019-12-01 00:00:00,13.2,131.1,983.0,991.43359375,13.0,131.09103544127865,989.60791015625,13.0,131.5
2019329N09160,2019,102,KAMMURI,2019-12-01 06:00:00,13.2,130.0,985.0,987.7493896484375,13.0,130.090340514246,981.816650390625,13.0,130.5
2019329N09160,2019,102,KAMMURI,2019-12-01 12:00:00,13.1,129.0,983.0,989.970947265625,13.0,128.83947185545517,981.9588012695312,13.5,129.0
2019329N09160,2019,102,KAMMURI,2019-12-01 18:00:00,13.0,127.7,972.0,987.381591796875,13.0,127.8387769284225,963.1593017578125,13.0,128.0
2019329N09160,2019,102,KAMMURI,2019-12-02 00:00:00,12.9,126.6,960.0,987.6319580078125,13.0,126.83808200138985,951.1615600585938,13.5,127.0
2019329N09160,2019,102,KAMMURI,2019-12-02 06:00:00,13.0,125.7,942.0,987.4642333984375,13.25,125.58721334259901,930.6744384765625,13.5,126.0
2019329N09160,2019,102,KAMMURI,2019-12-02 12:00:00,12.9,124.7,938.0,989.7023315429688,13.25,124.33634468380819,936.9378051757812,13.5,125.0
2019329N09160,2019,102,KAMMURI,2019-12-02 18:00:00,13.1,123.5,943.0,989.9625244140625,13.25,122.8353022932592,957.3843994140625,13.5,123.5
2019329N09160,2019,102,KAMMURI,2019-12-03 00:00:00,13.1,122.2,953.0,995.7550659179688,13.25,122.0847810979847,963.9222412109375,13.5,122.5
2019329N09160,2019,102,KAMMURI,2019-12-03 06:00:00,13.2,121.0,965.0,994.0499877929688,13.75,120.58373870743571,976.885986328125,13.5,121.0
2019329N09160,2019,102,KAMMURI,2019-12-03 12:00:00,13.4,119.9,974.0,997.825439453125,13.75,119.33287004864488,986.726806640625,13.5,120.5
2019329N09160,2019,102,KAMMURI,2019-12-03 18:00:00,13.8,118.8,987.0,996.5385131835938,14.25,118.08200138985406,982.9104614257812,14.0,119.0
2019329N09160,2019,102,KAMMURI,2019-12-04 00:00:00,14.1,117.9,993.0,999.7223510742188,14.5,117.33148019457956,981.3771362304688,14.5,118.0
2019329N09160,2019,102,KAMMURI,2019-12-04 06:00:00,14.3,117.1,993.0,998.158203125,15.0,116.58095899930507,983.1539916992188,15.0,117.5
