SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2007274N18131,2007,68,KROSA,2007-10-04 00:00:00,18.6,128.0,933.0,,18.6,128.0,984.86279296875,18.5,128.0
2007274N18131,2007,68,KROSA,2007-10-04 06:00:00,19.2,127.4,933.0,967.10888671875,19.25,127.088255733148,982.3189086914062,19.0,127.0
2007274N18131,2007,68,KROSA,2007-10-04 12:00:00,19.9,126.7,933.0,965.1578369140625,19.5,126.58790826963168,983.0167236328125,19.5,127.0
2007274N18131,2007,68,KROSA,2007-10-04 18:00:00,20.2,125.8,929.0,961.767822265625,20.0,126.08756080611535,980.4912719726562,20.0,126.0
2007274N18131,2007,68,KROSA,2007-10-05 00:00:00,20.4,125.3,926.0,963.5014038085938,20.25,125.0868658790827,980.1802368164062,20.5,125.5
2007274N18131,2007,68,KROSA,2007-10-05 06:00:00,21.0,125.0,926.0,959.753173828125,20.75,125.0868658790827,974.9185180664062,21.0,125.0
2007274N18131,2007,68,KROSA,2007-10-05 12:00:00,21.8,124.8,926.0,961.4908447265625,21.0,124.58651841556636,974.6998291015625,21.5,125.0
2007274N18131,2007,68,KROSA,2007-10-05 18:00:00,22.8,124.1,926.0,957.2770385742188,21.75,124.08617095205003,972.6956176757812,22.0,124.0
2007274N18131,2007,68,KROSA,2007-10-06 00:00:00,23.7,123.5,929.0,961.8724365234375,22.0,123.83599722029186,975.0784912109375,23.0,123.5
2007274N18131,2007,68,KROSA,2007-10-06 06:00:00,24.5,122.2,929.0,964.689453125,23.25,122.8353022932592,973.5536499023438,23.5,123.0
2007274N18131,2007,68,KROSA,2007-10-06 12:00:00,24.3,121.9,937.0,966.8295288085938,24.0,122.0847810979847,977.421875,23.5,122.0
2007274N18131,2007,68,KROSA,2007-10-06 18:00:00,25.5,121.1,956.0,972.5927124023438,24.5,120.83391243919388,979.425048828125,23.5,122.0
2007274N18131,2007,68,KROSA,2007-10-07 00:00:00,25.9,120.6,967.0,975.79248046875,25.0,120.58373870743571,982.0117797851562,25.5,121.5
2007274N18131,2007,68,KROSA,2007-10-07 06:00:00,26.8,120.5,985.0,980.57421875,25.75,120.58373870743571,983.0552368164062,25.5,121.0
2007274N18131,2007,68,KROSA,2007-10-07 12:00:00,27.4,120.2,989.0,986.840576171875,26.25,120.08339124391938,987.2757568359375,26.0,120.5
2007274N18131,2007,68,KROSA,2007-10-07 18:00:00,27.6,120.1,989.0,991.7546997070312,26.5,120.08339124391938,988.9855346679688,27.0,120.5
2007274N18131,2007,68,KROSA,2007-10-08 00:00:00,27.8,120.2,993.0,997.8666381835938,26.75,120.08339124391938,993.20263671875,27.0,120.0
