SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2024314N14160,2024,84,MAN-YI,2024-11-14 06:00:00,10.6,136.6,996.0,,10.6,136.6,998.4099731445312,10.5,135.0
2024314N14160,2024,84,MAN-YI,2024-11-14 12:00:00,10.6,135.0,993.0,,10.6,135.0,998.4099731445312,10.5,135.0
2024314N14160,2024,84,MAN-YI,2024-11-14 18:00:00,10.5,133.5,985.0,994.4122924804688,10.5,133.59277275886032,992.3887329101562,10.5,133.5
2024314N14160,2024,84,MAN-YI,2024-11-15 00:00:00,10.5,132.0,976.0,996.742919921875,10.5,132.09173036831132,989.2400512695312,10.5,132.0
2024314N14160,2024,84,MAN-YI,2024-11-15 06:00:00,10.9,130.4,972.0,993.5153198242188,11.0,130.34051424600415,983.2843017578125,11.0,131.0
2024314N14160,2024,84,MAN-YI,2024-11-15 12:00:00,11.5,129.0,963.0,996.2368774414062,11.25,129.08964558721334,974.517822265625,11.5,129.5
2024314N14160,2024,84,MAN-YI,2024-11-15 18:00:00,12.0,127.8,952.0,994.181884765625,11.75,127.8387769284225,971.9913940429688,12.0,128.0
2024314N14160,2024,84,MAN-YI,2024-11-16 00:00:00,12.5,126.7,934.0,993.6021118164062,12.25,126.58790826963168,968.63427734375,12.5,127.0
2024314N14160,2024,84,MAN-YI,2024-11-16 06:00:00,13.2,125.6,923.0,993.160400390625,13.0,125.83738707435718,957.61865234375,13.0,126.0
2024314N14160,2024,84,MAN-YI,2024-11-16 12:00:00,13.9,124.5,921.0,994.1919555664062,13.25,124.08617095205003,957.91943359375,13.5,125.0
2024314N14160,2024,84,MAN-YI,2024-11-16 18:00:00,14.3,123.8,941.0,992.414306640625,14.0,122.8353022932592,956.8618774414062,14.0,124.0
2024314N14160,2024,84,MAN-YI,2024-11-17 00:00:00,15.0,122.9,941.0,998.3746948242188,14.0,121.83460736622654,968.6224975585938,14.5,123.5
2024314N14160,2024,84,MAN-YI,2024-11-17 06:00:00,15.8,121.9,933.0,998.4215087890625,14.75,120.58373870743571,961.7672729492188,15.5,122.5
2024314N14160,2024,84,MAN-YI,2024-11-17 12:00:00,16.6,120.7,968.0,1000.6060791015625,15.5,119.58304378040305,980.2268676757812,16.0,121.5
2024314N14160,2024,84,MAN-YI,2024-11-17 18:00:00,17.7,119.4,981.0,999.80224609375,16.25,118.08200138985406,991.310791015625,17.0,120.0
2024314N14160,2024,84,MAN-YI,2024-11-18 00:00:00,18.0,118.1,988.0,1001.8255615234375,17.25,116.83113273106324,989.46728515625,18.0,119.0
2024314N14160,2024,84,MAN-YI,2024-11-18 06:00:00,18.4,116.8,994.0,1000.7958374023438,18.0,115.5802640722724,982.2183837890625,18.5,118.0
2024314N14160,2024,84,MAN-YI,2024-11-18 12:00:00,18.6,115.9,993.0,1002.2000732421875,18.5,114.07922168172341,984.1506958007812,19.0,117.5
2024314N14160,2024,84,MAN-YI,2024-11-18 18:00:00,18.5,115.2,996.0,1001.8618774414062,19.0,113.32870048644891,987.95068359375,19.0,116.5
