SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2015344N07145,2015,108,MELOR,2015-12-12 00:00:00,10.3,134.5,989.0,,10.3,134.5,1003.3339233398438,10.5,134.5
2015344N07145,2015,108,MELOR,2015-12-12 06:00:00,10.8,133.5,985.0,1000.4798583984375,11.0,133.092425295344,999.5745239257812,10.5,133.0
2015344N07145,2015,108,MELOR,2015-12-12 12:00:00,11.2,132.3,985.0,1002.4486083984375,11.25,132.09173036831132,1000.6849975585938,11.0,132.5
2015344N07145,2015,108,MELOR,2015-12-12 18:00:00,11.5,131.2,982.0,1000.243408203125,12.0,130.84086170952048,998.3025512695312,11.5,131.0
2015344N07145,2015,108,MELOR,2015-12-13 00:00:00,11.9,130.3,967.0,1001.8806762695312,12.0,129.84016678248784,1000.67529296875,12.0,130.0
2015344N07145,2015,108,MELOR,2015-12-13 06:00:00,12.3,129.1,956.0,997.4832763671875,12.25,128.589298123697,997.4925537109375,12.0,129.0
2015344N07145,2015,108,MELOR,2015-12-13 12:00:00,12.3,128.0,944.0,997.923095703125,12.5,127.58860319666434,999.2142333984375,12.0,128.0
2015344N07145,2015,108,MELOR,2015-12-13 18:00:00,12.4,126.9,937.0,994.7326049804688,12.75,126.58790826963168,997.158935546875,12.0,127.5
2015344N07145,2015,108,MELOR,2015-12-14 00:00:00,12.5,125.8,933.0,997.0755615234375,12.75,125.58721334259901,998.2130737304688,12.5,126.5
2015344N07145,2015,108,MELOR,2015-12-14 06:00:00,12.6,124.6,933.0,994.2509155273438,13.0,124.33634468380819,994.8117065429688,12.5,125.5
2015344N07145,2015,108,MELOR,2015-12-14 12:00:00,12.8,123.5,944.0,997.3035888671875,13.0,123.33564975677552,996.7100219726562,12.5,124.5
2015344N07145,2015,108,MELOR,2015-12-14 18:00:00,12.9,122.6,941.0,995.5978393554688,13.0,122.33495482974287,994.3172607421875,12.5,123.5
2015344N07145,2015,108,MELOR,2015-12-15 00:00:00,13.0,121.8,933.0,998.967041015625,13.25,121.58443363446837,990.9910278320312,12.5,122.5
2015344N07145,2015,108,MELOR,2015-12-15 06:00:00,13.3,121.2,948.0,995.1590576171875,13.25,120.33356497567755,985.4042358398438,13.0,122.0
2015344N07145,2015,108,MELOR,2015-12-15 12:00:00,13.5,120.6,959.0,996.4093017578125,13.0,119.83321751216121,986.0856323242188,13.0,121.0
2015344N07145,2015,108,MELOR,2015-12-15 18:00:00,13.9,120.3,974.0,994.5346069335938,13.0,119.08269631688671,987.1771850585938,13.0,120.5
2015344N07145,2015,108,MELOR,2015-12-16 00:00:00,14.1,119.9,985.0,995.6898193359375,13.0,118.58234885337039,987.301025390625,13.0,120.0
