SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2015122N07144,2015,26,NOUL,2015-05-08 18:00:00,13.7,127.1,944.0,991.7681884765625,14.0,127.088255733148,985.215087890625,13.5,127.0
2015122N07144,2015,26,NOUL,2015-05-09 00:00:00,14.3,126.2,944.0,993.774658203125,14.25,126.08756080611535,981.8710327148438,14.5,126.0
2015122N07144,2015,26,NOUL,2015-05-09 06:00:00,14.9,125.2,944.0,992.4795532226562,15.0,125.0868658790827,989.074462890625,15.0,125.0
2015122N07144,2015,26,NOUL,2015-05-09 12:00:00,15.4,124.6,933.0,993.3119506835938,15.25,124.08617095205003,985.1085815429688,15.5,124.5
2015122N07144,2015,26,NOUL,2015-05-09 18:00:00,16.1,123.9,922.0,994.2586059570312,15.75,123.08547602501736,982.4644775390625,16.0,123.5
2015122N07144,2015,26,NOUL,2015-05-10 00:00:00,17.0,123.3,918.0,1000.1646728515625,16.5,122.0847810979847,978.3001708984375,17.0,123.0
2015122N07144,2015,26,NOUL,2015-05-10 06:00:00,17.8,122.6,918.0,1000.7843627929688,17.25,121.58443363446837,980.1972045898438,18.0,122.5
2015122N07144,2015,26,NOUL,2015-05-10 12:00:00,18.6,122.3,926.0,1000.5660400390625,18.25,120.33356497567755,981.7471923828125,19.0,122.0
2015122N07144,2015,26,NOUL,2015-05-10 18:00:00,19.6,122.0,937.0,1000.35205078125,19.0,120.08339124391938,981.4592895507812,20.0,121.5
2015122N07144,2015,26,NOUL,2015-05-11 00:00:00,20.6,122.0,944.0,1000.7037353515625,20.0,120.08339124391938,987.1785888671875,21.0,121.5
2015122N07144,2015,26,NOUL,2015-05-11 06:00:00,21.7,122.3,956.0,996.966064453125,21.0,120.08339124391938,985.838623046875,22.0,122.5
2015122N07144,2015,26,NOUL,2015-05-11 12:00:00,23.3,123.5,963.0,1000.4121704101562,22.0,121.58443363446837,986.7926635742188,23.5,124.0
2015122N07144,2015,26,NOUL,2015-05-11 18:00:00,25.6,125.6,970.0,997.817138671875,23.75,122.8353022932592,983.69384765625,25.5,126.0
2015122N07144,2015,26,NOUL,2015-05-12 00:00:00,28.0,128.5,982.0,1000.5751342773438,25.25,124.83669214732453,986.2044677734375,28.0,129.0
2015122N07144,2015,26,NOUL,2015-05-12 06:00:00,30.5,132.3,985.0,1000.116943359375,26.5,127.8387769284225,986.667236328125,30.5,133.0
