SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2009270N10148,2009,74,PARMA,2009-10-02 12:00:00,15.9,124.7,952.0,,15.9,124.7,990.7737426757812,16.0,124.5
2009270N10148,2009,74,PARMA,2009-10-02 18:00:00,16.5,123.8,956.0,989.9027099609375,16.5,123.83599722029186,987.6503295898438,16.5,123.5
2009270N10148,2009,74,PARMA,2009-10-03 00:00:00,17.2,123.0,956.0,991.3502197265625,17.25,122.8353022932592,988.7706298828125,17.5,123.0
2009270N10148,2009,74,PARMA,2009-10-03 06:00:00,17.8,122.1,963.0,991.4880981445312,18.0,121.58443363446837,987.8203125,18.5,122.5
2009270N10148,2009,74,PARMA,2009-10-03 12:00:00,18.2,121.5,967.0,990.8189086914062,18.25,120.58373870743571,988.38916015625,18.5,121.5
2009270N10148,2009,74,PARMA,2009-10-03 18:00:00,18.6,120.7,974.0,988.4721069335938,18.5,120.58373870743571,985.4462280273438,19.0,121.0
2009270N10148,2009,74,PARMA,2009-10-04 00:00:00,18.8,120.2,974.0,988.6439208984375,19.0,120.08339124391938,985.7153930664062,19.5,121.0
2009270N10148,2009,74,PARMA,2009-10-04 06:00:00,19.3,119.9,974.0,986.3507080078125,19.75,120.08339124391938,982.423583984375,20.0,121.0
2009270N10148,2009,74,PARMA,2009-10-04 12:00:00,19.7,119.7,978.0,983.86181640625,20.0,119.83321751216121,984.329345703125,20.5,121.5
2009270N10148,2009,74,PARMA,2009-10-04 18:00:00,20.0,119.5,982.0,982.8264770507812,20.5,119.83321751216121,983.65576171875,21.0,121.5
2009270N10148,2009,74,PARMA,2009-10-05 00:00:00,20.1,119.5,982.0,983.0204467773438,21.0,120.08339124391938,985.25927734375,21.5,121.5
2009270N10148,2009,74,PARMA,2009-10-05 06:00:00,20.2,119.6,982.0,983.894775390625,21.0,120.58373870743571,983.1626586914062,22.0,122.0
2009270N10148,2009,74,PARMA,2009-10-05 12:00:00,20.1,119.8,982.0,984.8789672851562,21.5,121.3342599027102,982.591064453125,22.0,122.5
2009270N10148,2009,74,PARMA,2009-10-05 18:00:00,19.8,120.0,982.0,984.278564453125,22.0,121.83460736622654,980.0997924804688,22.0,122.5
2009270N10148,2009,74,PARMA,2009-10-06 00:00:00,19.3,120.2,982.0,987.9886474609375,22.25,122.0847810979847,980.38525390625,21.5,123.0
2009270N10148,2009,74,PARMA,2009-10-06 06:00:00,18.9,120.6,982.0,986.9010009765625,22.25,122.0847810979847,974.7086181640625,21.5,124.0
2009270N10148,2009,74,PARMA,2009-10-06 12:00:00,18.5,120.9,982.0,990.991455078125,22.25,122.8353022932592,977.5390625,21.0,124.0
2009270N10148,2009,74,PARMA,2009-10-06 18:00:00,18.0,121.3,996.0,989.8192138671875,22.25,123.83599722029186,976.6511840820312,21.0,124.5
2009270N10148,2009,74,PARMA,2009-10-07 00:00:00,17.6,122.0,996.0,992.0923461914062,22.25,124.33634468380819,976.209716796875,20.5,125.5
2009270N10148,2009,74,PARMA,2009-10-07 06:00:00,17.6,122.4,996.0,991.5086059570312,22.5,125.58721334259901,968.5892333984375,21.0,125.5
2009270N10148,2009,74,PARMA,2009-10-07 12:00:00,17.8,122.6,996.0,992.3984985351562,23.0,126.83808200138985,970.24951171875,21.0,126.0
2009270N10148,2009,74,PARMA,2009-10-07 18:00:00,17.8,122.6,996.0,990.3770141601562,24.0,127.8387769284225,965.2491455078125,21.0,126.5
2009270N10148,2009,74,PARMA,2009-10-08 18:00:00,17.3,120.6,997.0,992.6084594726562,28.0,131.34120917303682,963.3428344726562,22.0,128.5
