SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2012209N11131,2012,39,SAOLA,2012-07-30 12:00:00,20.6,124.6,978.0,,20.6,124.6,982.2410888671875,20.0,124.5
2012209N11131,2012,39,SAOLA,2012-07-30 18:00:00,20.7,124.2,978.0,978.8150634765625,20.5,124.08617095205003,980.3533325195312,21.0,124.5
2012209N11131,2012,39,SAOLA,2012-07-31 00:00:00,20.9,124.1,978.0,978.1249389648438,21.0,124.33634468380819,980.7056884765625,21.0,124.0
2012209N11131,2012,39,SAOLA,2012-07-31 06:00:00,21.3,124.3,974.0,977.160400390625,21.5,124.33634468380819,979.775634765625,22.0,124.5
2012209N11131,2012,39,SAOLA,2012-07-31 12:00:00,21.7,124.1,974.0,976.076904296875,22.0,124.08617095205003,979.5759887695312,22.0,123.5
2012209N11131,2012,39,SAOLA,2012-07-31 18:00:00,22.3,123.8,967.0,972.9556274414062,22.0,123.83599722029186,976.4447021484375,22.0,123.5
2012209N11131,2012,39,SAOLA,2012-08-01 00:00:00,22.8,123.7,959.0,971.5159301757812,23.0,124.08617095205003,975.4306030273438,22.5,123.5
2012209N11131,2012,39,SAOLA,2012-08-01 06:00:00,23.4,123.4,956.0,971.2525024414062,23.25,123.58582348853369,971.602294921875,23.5,123.5
2012209N11131,2012,39,SAOLA,2012-08-01 12:00:00,24.0,123.0,956.0,970.850341796875,24.0,123.08547602501736,969.169921875,24.0,123.0
2012209N11131,2012,39,SAOLA,2012-08-01 18:00:00,24.1,122.1,956.0,971.1522827148438,24.75,122.58512856150104,969.921142578125,25.0,122.5
2012209N11131,2012,39,SAOLA,2012-08-02 00:00:00,24.0,122.1,974.0,974.1546630859375,25.0,122.33495482974287,978.38037109375,24.5,122.0
2012209N11131,2012,39,SAOLA,2012-08-02 06:00:00,24.9,122.1,989.0,976.2923583984375,25.75,122.0847810979847,982.709716796875,25.0,122.5
2012209N11131,2012,39,SAOLA,2012-08-02 12:00:00,25.7,121.4,989.0,979.0859375,26.75,122.0847810979847,985.7550659179688,26.5,122.0
2012209N11131,2012,39,SAOLA,2012-08-02 18:00:00,26.3,120.7,989.0,982.1818237304688,27.5,121.08408617095205,986.86474609375,27.0,120.5
2012209N11131,2012,39,SAOLA,2012-08-03 00:00:00,26.9,119.9,996.0,987.3580322265625,29.0,120.08339124391938,991.6917114257812,28.0,120.0
