SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2015211N13162,2015,54,SOUDELOR,2015-08-05 18:00:00,20.1,131.5,952.0,965.741943359375,20.25,131.34120917303682,942.1204833984375,20.0,131.0
2015211N13162,2015,54,SOUDELOR,2015-08-06 00:00:00,20.5,130.2,956.0,963.6077880859375,20.25,130.090340514246,934.8001708984375,20.5,130.5
2015211N13162,2015,54,SOUDELOR,2015-08-06 06:00:00,20.9,129.2,959.0,963.8540649414062,20.5,129.58999305072967,926.327392578125,21.0,129.0
2015211N13162,2015,54,SOUDELOR,2015-08-06 12:00:00,21.2,128.1,956.0,961.6590576171875,21.0,128.33912439193884,919.4876708984375,21.5,128.0
2015211N13162,2015,54,SOUDELOR,2015-08-06 18:00:00,21.5,126.8,952.0,964.0286865234375,21.25,127.088255733148,926.7906494140625,22.0,126.5
2015211N13162,2015,54,SOUDELOR,2015-08-07 00:00:00,21.9,125.8,948.0,961.1322631835938,22.0,126.08756080611535,918.4439697265625,22.0,125.5
2015211N13162,2015,54,SOUDELOR,2015-08-07 06:00:00,22.4,124.8,944.0,963.2474975585938,22.25,125.0868658790827,913.7422485351562,22.5,124.5
2015211N13162,2015,54,SOUDELOR,2015-08-07 12:00:00,22.9,123.8,944.0,963.1248168945312,22.75,124.33634468380819,919.75048828125,23.5,123.5
2015211N13162,2015,54,SOUDELOR,2015-08-07 18:00:00,23.7,122.6,948.0,966.935791015625,23.25,123.58582348853369,936.5783081054688,24.0,122.0
2015211N13162,2015,54,SOUDELOR,2015-08-08 00:00:00,24.0,121.0,952.0,968.9804077148438,24.0,122.0847810979847,963.94482421875,24.0,120.5
2015211N13162,2015,54,SOUDELOR,2015-08-08 06:00:00,24.1,120.0,967.0,970.50048828125,24.5,120.58373870743571,964.9879150390625,24.5,119.5
2015211N13162,2015,54,SOUDELOR,2015-08-08 12:00:00,24.8,119.4,970.0,972.4113159179688,24.5,120.58373870743571,972.5751342773438,25.0,119.0
2015211N13162,2015,54,SOUDELOR,2015-08-08 18:00:00,25.4,118.5,982.0,973.7528076171875,25.0,120.08339124391938,981.6651611328125,25.5,117.5
2015211N13162,2015,54,SOUDELOR,2015-08-09 00:00:00,25.8,117.6,993.0,983.5455322265625,25.0,120.08339124391938,986.379150390625,26.5,117.0
2015211N13162,2015,54,SOUDELOR,2015-08-09 06:00:00,26.6,116.9,996.0,988.2212524414062,26.5,118.33217512161222,987.725830078125,28.0,116.5
