SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2013187N20156,2013,33,SOULIK,2013-07-10 18:00:00,21.9,132.2,937.0,974.04296875,22.0,132.09173036831132,961.3244018554688,22.0,132.0
2013187N20156,2013,33,SOULIK,2013-07-11 00:00:00,22.1,130.9,944.0,975.020751953125,22.0,130.84086170952048,960.0198364257812,22.5,130.5
2013187N20156,2013,33,SOULIK,2013-07-11 06:00:00,22.4,129.7,952.0,974.986328125,22.5,129.58999305072967,951.1062622070312,22.5,129.5
2013187N20156,2013,33,SOULIK,2013-07-11 12:00:00,22.4,128.4,952.0,974.2830200195312,22.75,128.08895066018067,943.47412109375,22.5,128.0
2013187N20156,2013,33,SOULIK,2013-07-11 18:00:00,22.6,127.0,952.0,972.712646484375,22.75,126.83808200138985,942.3261108398438,22.5,126.5
2013187N20156,2013,33,SOULIK,2013-07-12 00:00:00,22.8,125.9,956.0,973.806640625,22.75,125.58721334259901,930.439697265625,23.0,125.5
2013187N20156,2013,33,SOULIK,2013-07-12 06:00:00,23.3,124.9,956.0,971.1373291015625,23.25,124.33634468380819,926.2532958984375,23.5,124.5
2013187N20156,2013,33,SOULIK,2013-07-12 12:00:00,23.9,123.8,963.0,973.2132568359375,23.75,123.33564975677552,930.838623046875,24.0,123.5
2013187N20156,2013,33,SOULIK,2013-07-12 18:00:00,24.8,122.4,963.0,977.7080688476562,24.0,122.0847810979847,959.6328735351562,24.5,121.5
2013187N20156,2013,33,SOULIK,2013-07-13 00:00:00,24.9,121.0,967.0,972.3468627929688,24.75,120.33356497567755,972.181396484375,25.5,121.0
2013187N20156,2013,33,SOULIK,2013-07-13 06:00:00,25.9,120.0,970.0,983.2081909179688,25.0,120.08339124391938,982.253173828125,26.5,119.0
2013187N20156,2013,33,SOULIK,2013-07-13 12:00:00,26.2,118.5,985.0,991.45703125,25.5,117.58165392633772,990.64697265625,27.0,117.5
