SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2021197N17135,2021,47,IN-FA,2021-07-22 12:00:00,23.6,125.8,955
2021197N17135,2021,47,IN-FA,2021-07-22 18:00:00,23.7,125.5,960
2021197N17135,2021,47,IN-FA,2021-07-23 00:00:00,24.2,125.4,960
2021197N17135,2021,47,IN-FA,2021-07-23 06:00:00,24.6,125.1,960
2021197N17135,2021,47,IN-FA,2021-07-23 12:00:00,24.8,125.0,960
2021197N17135,2021,47,IN-FA,2021-07-23 18:00:00,25.5,125.0,965
2021197N17135,2021,47,IN-FA,2021-07-24 00:00:00,26.4,124.7,960
2021197N17135,2021,47,IN-FA,2021-07-24 06:00:00,27.2,124.3,960
2021197N17135,2021,47,IN-FA,2021-07-24 12:00:00,28.0,124.0,960
2021197N17135,2021,47,IN-FA,2021-07-24 18:00:00,28.6,123.7,960
2021197N17135,2021,47,IN-FA,2021-07-25 00:00:00,29.7,123.0,970
2021197N17135,2021,47,IN-FA,2021-07-25 06:00:00,30.0,122.4,970
2021197N17135,2021,47,IN-FA,2021-07-25 12:00:00,30.2,122.1,975
2021197N17135,2021,47,IN-FA,2021-07-25 18:00:00,30.4,121.6,980
2021197N17135,2021,47,IN-FA,2021-07-26 00:00:00,30.6,121.2,985
2021197N17135,2021,47,IN-FA,2021-07-26 06:00:00,30.9,120.9,985
2021197N17135,2021,47,IN-FA,2021-07-26 12:00:00,31.0,120.4,985
2021197N17135,2021,47,IN-FA,2021-07-26 18:00:00,31.2,119.9,985
2021197N17135,2021,47,IN-FA,2021-07-27 00:00:00,31.3,119.4,985
2021197N17135,2021,47,IN-FA,2021-07-27 06:00:00,31.3,119.0,985
2021197N17135,2021,47,IN-FA,2021-07-27 12:00:00,31.6,118.9,985
2021197N17135,2021,47,IN-FA,2021-07-27 18:00:00,32.2,118.3,990
2021197N17135,2021,47,IN-FA,2021-07-28 00:00:00,32.6,117.6,990
2021197N17135,2021,47,IN-FA,2021-07-28 06:00:00,33.1,117.1,990
2021197N17135,2021,47,IN-FA,2021-07-28 12:00:00,33.2,116.9,990
2021197N17135,2021,47,IN-FA,2021-07-28 18:00:00,34.0,116.8,990
2021197N17135,2021,47,IN-FA,2021-07-29 00:00:00,35.0,116.9,990
2021197N17135,2021,47,IN-FA,2021-07-29 06:00:00,35.7,117.2,992
2021197N17135,2021,47,IN-FA,2021-07-29 12:00:00,36.9,117.6,992
2021197N17135,2021,47,IN-FA,2021-07-29 18:00:00,38.1,118.0,992
2021197N17135,2021,47,IN-FA,2021-07-30 00:00:00,38.6,118.7,992
2021197N17135,2021,47,IN-FA,2021-07-30 06:00:00,38.7,119.1,992
2021197N17135,2021,47,IN-FA,2021-07-30 12:00:00,38.7,119.5,994
2021197N17135,2021,47,IN-FA,2021-07-30 18:00:00,39.3,120.3,994
2021197N17135,2021,47,IN-FA,2021-07-31 00:00:00,40.2,121.0,994
2021197N17135,2021,47,IN-FA,2021-07-31 06:00:00,40.9,121.5,994
2021204N21146,2021,50,NEPARTAK,2021-07-22 12:00:00,21.4,146.2,1002
2021204N21146,2021,50,NEPARTAK,2021-07-22 18:00:00,21.8,147.0,1000
2021204N21146,2021,50,NEPARTAK,2021-07-23 00:00:00,22.5,147.9,1002
2021204N21146,2021,50,NEPARTAK,2021-07-23 06:00:00,23.5,148.4,1000
2021204N21146,2021,50,NEPARTAK,2021-07-23 12:00:00,24.2,148.8,998
2021204N21146,2021,50,NEPARTAK,2021-07-23 18:00:00,25.0,149.3,998
2021204N21146,2021,50,NEPARTAK,2021-07-24 00:00:00,25.4,149.6,996
2021204N21146,2021,50,NEPARTAK,2021-07-24 06:00:00,26.2,150.1,996
2021204N21146,2021,50,NEPARTAK,2021-07-24 12:00:00,27.4,150.4,994
2021204N21146,2021,50,NEPARTAK,2021-07-24 18:00:00,28.3,150.5,994
2021204N21146,2021,50,NEPARTAK,2021-07-25 00:00:00,29.2,150.4,994
2021204N21146,2021,50,NEPARTAK,2021-07-25 06:00:00,30.2,150.4,992
2021204N21146,2021,50,NEPARTAK,2021-07-25 12:00:00,31.1,150.3,992
2021204N21146,2021,50,NEPARTAK,2021-07-25 18:00:00,32.5,149.7,992
2021204N21146,2021,50,NEPARTAK,2021-07-26 00:00:00,33.9,148.1,992
2021204N21146,2021,50,NEPARTAK,2021-07-26 06:00:00,34.6,146.4,992
2021204N21146,2021,50,NEPARTAK,2021-07-26 12:00:00,34.7,144.4,992
2021204N21146,2021,50,NEPARTAK,2021-07-26 18:00:00,34.4,142.9,990
2021204N21146,2021,50,NEPARTAK,2021-07-27 00:00:00,34.9,142.6,990
2021204N21146,2021,50,NEPARTAK,2021-07-27 06:00:00,35.8,142.3,990
2021204N21146,2021,50,NEPARTAK,2021-07-27 12:00:00,36.5,142.2,992
2021204N21146,2021,50,NEPARTAK,2021-07-27 18:00:00,37.8,142.1,994
2021204N21146,2021,50,NEPARTAK,2021-07-28 00:00:00,39.2,141.4,994
2021204N21146,2021,50,NEPARTAK,2021-07-28 06:00:00,40.3,140.0,998
2021204N21146,2021,50,NEPARTAK,2021-07-28 12:00:00,40.7,138.3,998
