SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2022247N26147,2022,66,MUIFA,2022-09-10 12:00:00,21.7,125.5,965
2022247N26147,2022,66,MUIFA,2022-09-10 18:00:00,22.2,124.9,960
2022247N26147,2022,66,MUIFA,2022-09-11 00:00:00,22.6,124.5,950
2022247N26147,2022,66,MUIFA,2022-09-11 06:00:00,22.9,124.4,950
2022247N26147,2022,66,MUIFA,2022-09-11 12:00:00,23.3,124.3,955
2022247N26147,2022,66,MUIFA,2022-09-11 18:00:00,23.7,124.2,965
2022247N26147,2022,66,MUIFA,2022-09-12 00:00:00,24.0,124.2,965
2022247N26147,2022,66,MUIFA,2022-09-12 06:00:00,24.7,124.0,965
2022247N26147,2022,66,MUIFA,2022-09-12 12:00:00,24.9,124.0,965
2022247N26147,2022,66,MUIFA,2022-09-12 18:00:00,25.2,124.1,965
2022247N26147,2022,66,MUIFA,2022-09-13 00:00:00,25.7,124.2,955
2022247N26147,2022,66,MUIFA,2022-09-13 06:00:00,26.1,124.0,955
2022247N26147,2022,66,MUIFA,2022-09-13 12:00:00,26.7,123.9,955
2022247N26147,2022,66,MUIFA,2022-09-13 18:00:00,27.2,123.5,955
2022247N26147,2022,66,MUIFA,2022-09-14 00:00:00,28.0,123.2,955
2022247N26147,2022,66,MUIFA,2022-09-14 06:00:00,28.8,122.8,955
2022247N26147,2022,66,MUIFA,2022-09-14 12:00:00,29.9,122.3,965
2022247N26147,2022,66,MUIFA,2022-09-14 18:00:00,31.2,121.7,975
2022247N26147,2022,66,MUIFA,2022-09-15 00:00:00,32.7,120.9,985
2022247N26147,2022,66,MUIFA,2022-09-15 06:00:00,34.0,120.5,990
2022247N26147,2022,66,MUIFA,2022-09-15 12:00:00,35.2,120.3,992
2022247N26147,2022,66,MUIFA,2022-09-15 18:00:00,36.4,120.6,992
2022247N26147,2022,66,MUIFA,2022-09-16 00:00:00,37.8,121.3,994
2022247N26147,2022,66,MUIFA,2022-09-16 06:00:00,39.2,122.6,994
2022247N26147,2022,66,MUIFA,2022-09-16 12:00:00,41.4,124.6,1000
2022254N21158,2022,69,MERBOK,2022-09-10 12:00:00,20.8,158.1,1006
2022254N21158,2022,69,MERBOK,2022-09-10 18:00:00,20.8,158.5,1004
2022254N21158,2022,69,MERBOK,2022-09-11 00:00:00,20.8,159.2,1004
2022254N21158,2022,69,MERBOK,2022-09-11 06:00:00,20.9,159.7,1002
2022254N21158,2022,69,MERBOK,2022-09-11 12:00:00,20.9,160.4,1000
2022254N21158,2022,69,MERBOK,2022-09-11 18:00:00,21.1,161.0,998
2022254N21158,2022,69,MERBOK,2022-09-12 00:00:00,21.2,161.4,994
2022254N21158,2022,69,MERBOK,2022-09-12 06:00:00,21.8,162.0,992
2022254N21158,2022,69,MERBOK,2022-09-12 12:00:00,22.7,162.7,990
2022254N21158,2022,69,MERBOK,2022-09-12 18:00:00,23.2,163.2,985
2022254N21158,2022,69,MERBOK,2022-09-13 00:00:00,23.9,163.3,985
2022254N21158,2022,69,MERBOK,2022-09-13 06:00:00,24.8,163.2,985
2022254N21158,2022,69,MERBOK,2022-09-13 12:00:00,25.9,163.0,980
2022254N21158,2022,69,MERBOK,2022-09-13 18:00:00,26.8,162.3,975
2022254N21158,2022,69,MERBOK,2022-09-14 00:00:00,28.3,162.1,975
2022254N21158,2022,69,MERBOK,2022-09-14 06:00:00,30.0,162.0,970
2022254N21158,2022,69,MERBOK,2022-09-14 12:00:00,32.0,161.9,965
2022254N21158,2022,69,MERBOK,2022-09-14 18:00:00,33.8,162.3,965
2022254N21158,2022,69,MERBOK,2022-09-15 00:00:00,36.6,164.3,965
2022254N21158,2022,69,MERBOK,2022-09-15 06:00:00,41.4,166.8,960
2022254N21158,2022,69,MERBOK,2022-09-15 12:00:00,45.3,167.8,956
2022254N21158,2022,69,MERBOK,2022-09-15 18:00:00,48.6,170.0,954
2022254N21158,2022,69,MERBOK,2022-09-16 00:00:00,51.5,172.7,952
2022254N21158,2022,69,MERBOK,2022-09-16 06:00:00,54.8,175.4,948
2022254N21158,2022,69,MERBOK,2022-09-16 12:00:00,56.6,177.3,940
