SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2021248N12141,2021,72,CHANTHU,2021-09-05 06:00:00,12.4,140.5,1006,,12.4,140.5,1007.6774291992188,14.0,139.0
2021248N12141,2021,72,CHANTHU,2021-09-05 12:00:00,13.0,139.9,1008,,13.0,139.9,1007.6774291992188,14.0,139.0
2021248N12141,2021,72,CHANTHU,2021-09-05 18:00:00,13.3,139.4,1006,1006.4725952148438,13.25,139.09659485753994,1006.0432739257812,14.0,138.5
2021248N12141,2021,72,CHANTHU,2021-09-06 00:00:00,13.5,138.9,1006,1008.3716430664062,13.75,138.84642112578177,1008.080322265625,14.5,138.0
2021248N12141,2021,72,CHANTHU,2021-09-06 06:00:00,14.0,138.6,1004,1004.7530517578125,14.75,138.0958999305073,1005.0611572265625,15.0,137.5
2021248N12141,2021,72,CHANTHU,2021-09-06 12:00:00,14.7,138.0,1002,1007.1814575195312,15.5,137.84572619874913,1007.2755737304688,15.5,137.5
2021248N12141,2021,72,CHANTHU,2021-09-06 18:00:00,15.2,137.4,1000,1004.7737426757812,16.25,137.09520500347463,1004.42041015625,16.5,137.0
2021248N12141,2021,72,CHANTHU,2021-09-07 00:00:00,15.6,136.6,994,1005.5321655273438,16.75,136.34468380820013,1005.8002319335938,17.0,136.5
2021248N12141,2021,72,CHANTHU,2021-09-07 06:00:00,16.1,135.7,990,1003.9266967773438,17.0,135.8443363446838,1002.86962890625,17.5,136.0
2021248N12141,2021,72,CHANTHU,2021-09-07 12:00:00,16.3,134.6,980,1004.8917846679688,17.0,135.0938151494093,1003.848388671875,17.5,135.5
2021248N12141,2021,72,CHANTHU,2021-09-07 18:00:00,16.3,133.5,960,1002.8632202148438,17.25,134.3432939541348,1000.184814453125,18.0,135.0
2021248N12141,2021,72,CHANTHU,2021-09-08 00:00:00,16.0,132.3,950,1004.3807983398438,17.5,133.34259902710215,999.5738525390625,18.0,134.0
2021248N12141,2021,72,CHANTHU,2021-09-08 06:00:00,15.7,131.3,940,1002.6861572265625,17.75,132.34190410006948,996.1793212890625,18.0,133.0
2021248N12141,2021,72,CHANTHU,2021-09-08 12:00:00,15.5,130.3,940,1003.5587768554688,17.75,131.34120917303682,996.500244140625,18.5,132.5
2021248N12141,2021,72,CHANTHU,2021-09-08 18:00:00,15.4,129.1,935,1001.8599243164062,18.0,130.090340514246,994.4513549804688,18.5,131.5
2021248N12141,2021,72,CHANTHU,2021-09-09 00:00:00,15.5,128.0,935,1003.3223266601562,18.5,128.83947185545517,996.1707153320312,19.0,130.0
2021248N12141,2021,72,CHANTHU,2021-09-09 06:00:00,15.8,127.1,935,1001.9528198242188,19.0,127.8387769284225,989.1775512695312,19.5,129.0
2021248N12141,2021,72,CHANTHU,2021-09-09 12:00:00,16.1,125.9,935,1002.4522094726562,19.75,126.33773453787352,989.13671875,20.0,128.0
2021248N12141,2021,72,CHANTHU,2021-09-09 18:00:00,16.6,124.9,935,1001.64111328125,20.75,125.0868658790827,986.6331787109375,20.5,127.0
2021248N12141,2021,72,CHANTHU,2021-09-10 00:00:00,17.1,124.1,930,1002.0498657226562,21.5,123.83599722029186,992.3780517578125,21.5,126.0
2021248N12141,2021,72,CHANTHU,2021-09-10 06:00:00,17.8,123.5,910,1001.1908569335938,22.5,122.8353022932592,984.4874877929688,22.0,125.0
2021248N12141,2021,72,CHANTHU,2021-09-10 12:00:00,18.7,122.9,910,1000.7645263671875,23.5,122.33495482974287,985.2115478515625,23.0,124.5
2021248N12141,2021,72,CHANTHU,2021-09-10 18:00:00,19.5,122.3,905,1001.1270141601562,25.0,122.0847810979847,975.122802734375,23.5,124.0
2021248N12141,2021,72,CHANTHU,2021-09-11 00:00:00,20.3,121.9,905,1001.9071655273438,26.0,121.58443363446837,979.14208984375,24.5,124.0
2021248N12141,2021,72,CHANTHU,2021-09-11 06:00:00,21.0,121.5,910,999.0211181640625,27.25,121.83460736622654,966.165771484375,25.0,124.0
2021248N12141,2021,72,CHANTHU,2021-09-11 12:00:00,21.8,121.8,920,998.5497436523438,28.75,122.33495482974287,966.3636474609375,25.5,124.5
2021248N12141,2021,72,CHANTHU,2021-09-11 18:00:00,22.8,122.0,935,997.091552734375,30.0,123.08547602501736,962.9774169921875,26.5,124.5
2021248N12141,2021,72,CHANTHU,2021-09-12 00:00:00,23.8,122.3,935,998.0791625976562,31.0,124.08617095205003,960.8516235351562,27.5,125.0
2021248N12141,2021,72,CHANTHU,2021-09-12 06:00:00,25.2,122.3,950,997.07421875,31.5,125.33703961084085,961.0633544921875,28.5,125.5
2021248N12141,2021,72,CHANTHU,2021-09-12 12:00:00,26.3,122.7,960,999.5916137695312,31.75,126.58790826963168,950.19189453125,29.0,125.5
2021248N12141,2021,72,CHANTHU,2021-09-12 18:00:00,27.6,123.1,955,1000.5501708984375,32.25,128.08895066018067,950.19189453125,29.0,125.5
2021248N12141,2021,72,CHANTHU,2021-09-13 00:00:00,29.1,123.6,955,1003.4721069335938,32.25,129.84016678248784,950.19189453125,29.0,125.5
2021248N12141,2021,72,CHANTHU,2021-09-13 06:00:00,30.7,123.4,960,1004.4959106445312,31.75,131.59138290479498,950.19189453125,29.0,125.5
2021248N12141,2021,72,CHANTHU,2021-09-13 12:00:00,31.0,123.3,970,1006.9639892578125,31.75,132.34190410006948,950.19189453125,29.0,125.5
