SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2023201N13134,2023,32,DOKSURI,2023-07-26 18:00:00,20.0,120.0,955,977.4520263671875,20.25,120.08339124391938,977.753662109375,20.5,120.0
2023201N13134,2023,32,DOKSURI,2023-07-27 00:00:00,20.7,119.7,955,980.8663330078125,20.75,119.83321751216121,978.1959228515625,20.5,119.5
2023201N13134,2023,32,DOKSURI,2023-07-27 06:00:00,21.1,119.3,955,979.6455688476562,21.0,119.58304378040305,974.780029296875,21.0,119.5
2023201N13134,2023,32,DOKSURI,2023-07-27 12:00:00,21.8,119.1,955,980.9400024414062,22.0,119.08269631688671,972.1751708984375,22.0,119.0
2023201N13134,2023,32,DOKSURI,2023-07-27 18:00:00,22.8,119.0,955,981.662109375,23.0,118.83252258512856,969.7665405273438,23.0,118.5
2023201N13134,2023,32,DOKSURI,2023-07-28 00:00:00,24.2,118.8,965,985.604248046875,24.0,118.08200138985406,967.9657592773438,24.0,118.0
2023201N13134,2023,32,DOKSURI,2023-07-28 06:00:00,25.5,118.3,985,991.2482299804688,25.0,118.08200138985406,979.6581420898438,25.0,117.5
2023201N13134,2023,32,DOKSURI,2023-07-28 12:00:00,27.1,117.7,994,993.1306762695312,26.75,116.3307852675469,988.7974853515625,27.0,117.0
2023201N13134,2023,32,DOKSURI,2023-07-28 18:00:00,28.7,117.1,996,992.8529052734375,28.0,115.83043780403057,990.36962890625,28.5,116.5
2023201N13134,2023,32,DOKSURI,2023-07-29 00:00:00,30.3,115.8,998,996.420166015625,29.75,115.07991660875606,994.2095336914062,30.0,116.0
2023201N13134,2023,32,DOKSURI,2023-07-29 06:00:00,31.9,114.9,998,995.6044311523438,30.25,114.07922168172341,994.5658569335938,32.0,115.5
2023201N13134,2023,32,DOKSURI,2023-07-29 12:00:00,33.0,114.5,998,996.8782958984375,30.75,113.32870048644891,995.8167724609375,32.5,115.0
2023201N13134,2023,32,DOKSURI,2023-07-29 18:00:00,34.0,114.3,998,997.0933837890625,32.25,112.82835302293259,995.9058837890625,33.5,114.0
2023201N13134,2023,32,DOKSURI,2023-07-30 00:00:00,35.5,113.8,1000,998.5223999023438,33.0,112.82835302293259,996.5402221679688,34.0,114.0
2023201N13134,2023,32,DOKSURI,2023-07-30 06:00:00,36.0,113.5,1000,999.7503662109375,32.75,112.07783182765809,996.3515014648438,34.5,114.5
2023201N13134,2023,32,DOKSURI,2023-07-30 12:00:00,36.5,112.9,1000,1000.348876953125,32.5,112.07783182765809,998.2857055664062,35.5,114.5
2023207N09141,2023,34,KHANUN,2023-07-26 18:00:00,10.6,140.6,1006,1004.2711791992188,11.5,141.09798471160528,1003.2411499023438,11.5,141.5
2023207N09141,2023,34,KHANUN,2023-07-27 00:00:00,11.4,139.9,1006,1005.1842041015625,12.5,140.0972897845726,1005.19091796875,13.0,140.5
2023207N09141,2023,34,KHANUN,2023-07-27 06:00:00,11.8,138.7,1004,1002.2313842773438,12.75,139.09659485753994,1002.2775268554688,13.5,140.0
2023207N09141,2023,34,KHANUN,2023-07-27 12:00:00,12.1,137.8,1004,1003.029052734375,13.0,137.84572619874913,1003.7251586914062,14.0,138.5
2023207N09141,2023,34,KHANUN,2023-07-27 18:00:00,12.5,137.1,1002,1000.4148559570312,13.0,137.84572619874913,1001.3365478515625,13.5,138.0
2023207N09141,2023,34,KHANUN,2023-07-28 00:00:00,12.9,136.5,1000,1000.9273681640625,13.0,137.09520500347463,1002.7157592773438,13.5,137.0
2023207N09141,2023,34,KHANUN,2023-07-28 06:00:00,13.5,136.0,998,998.1875,14.0,137.09520500347463,999.8331298828125,13.5,136.5
2023207N09141,2023,34,KHANUN,2023-07-28 12:00:00,14.1,135.5,998,997.8771362304688,14.75,135.8443363446838,1001.4224853515625,15.5,137.5
2023207N09141,2023,34,KHANUN,2023-07-28 18:00:00,14.8,134.7,996,994.6251831054688,15.0,135.59416261292563,999.609619140625,16.5,136.5
2023207N09141,2023,34,KHANUN,2023-07-29 00:00:00,15.6,134.0,996,994.2388305664062,16.0,135.0938151494093,999.7245483398438,17.5,136.0
2023207N09141,2023,34,KHANUN,2023-07-29 06:00:00,16.3,133.7,992,991.5165405273438,16.75,134.3432939541348,997.515869140625,18.5,135.0
2023207N09141,2023,34,KHANUN,2023-07-29 12:00:00,16.9,133.4,985,990.2731323242188,17.25,134.09312022237663,996.8668212890625,18.5,135.5
2023207N09141,2023,34,KHANUN,2023-07-29 18:00:00,17.7,133.1,980,986.6280517578125,18.25,133.59277275886032,993.1133422851562,21.0,135.0
2023207N09141,2023,34,KHANUN,2023-07-30 00:00:00,18.7,132.8,970,984.3623657226562,19.25,132.84225156358582,991.9127197265625,21.5,134.5
2023207N09141,2023,34,KHANUN,2023-07-30 06:00:00,19.7,132.6,965,980.85888671875,20.5,132.59207783182765,987.8364868164062,22.0,134.5
2023207N09141,2023,34,KHANUN,2023-07-30 12:00:00,20.3,132.4,960,975.1105346679688,22.0,132.09173036831132,987.4257202148438,24.0,133.5
