SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2021197N17135,2021,47,IN-FA,2021-07-22 12:00:00,23.6,125.8,955,,23.6,125.8,958.4346313476562,23.5,126.0
2021197N17135,2021,47,IN-FA,2021-07-22 18:00:00,23.7,125.5,960,965.3152465820312,24.0,125.83738707435718,955.888671875,24.0,125.5
2021197N17135,2021,47,IN-FA,2021-07-23 00:00:00,24.2,125.4,960,965.8515625,24.25,125.33703961084085,957.5299072265625,24.5,125.0
2021197N17135,2021,47,IN-FA,2021-07-23 06:00:00,24.6,125.1,960,963.3045043945312,24.75,125.0868658790827,955.681640625,24.5,124.5
2021197N17135,2021,47,IN-FA,2021-07-23 12:00:00,24.8,125.0,960,965.83251953125,25.0,125.0868658790827,952.39208984375,25.0,124.5
2021197N17135,2021,47,IN-FA,2021-07-23 18:00:00,25.5,125.0,965,967.6488037109375,25.75,124.83669214732453,950.4911499023438,25.5,124.0
2021197N17135,2021,47,IN-FA,2021-07-24 00:00:00,26.4,124.7,960,968.4562377929688,26.0,124.83669214732453,951.603271484375,26.5,124.0
2021197N17135,2021,47,IN-FA,2021-07-24 06:00:00,27.2,124.3,960,969.6704711914062,27.0,125.0868658790827,948.8707275390625,27.0,124.0
2021197N17135,2021,47,IN-FA,2021-07-24 12:00:00,28.0,124.0,960,970.9346923828125,27.75,125.0868658790827,949.0582275390625,27.5,123.5
2021197N17135,2021,47,IN-FA,2021-07-24 18:00:00,28.6,123.7,960,971.8292846679688,28.5,125.0868658790827,951.0631103515625,28.5,123.5
2021197N17135,2021,47,IN-FA,2021-07-25 00:00:00,29.7,123.0,970,972.334716796875,29.0,125.0868658790827,955.1404418945312,29.0,123.0
2021197N17135,2021,47,IN-FA,2021-07-25 06:00:00,30.0,122.4,970,971.49609375,30.0,124.33634468380819,958.713134765625,29.5,122.5
