SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2022254N21158,2022,69,MERBOK,2022-09-10 12:00:00,20.8,158.1,1006,,20.8,158.1,1005.1875,21.0,158.5
2022254N21158,2022,69,MERBOK,2022-09-10 18:00:00,20.8,158.5,1004,1003.0888061523438,21.0,159.11049339819317,1002.5240478515625,21.0,158.5
2022254N21158,2022,69,MERBOK,2022-09-11 00:00:00,20.8,159.2,1004,1004.00830078125,21.25,159.11049339819317,1003.17529296875,21.0,159.5
2022254N21158,2022,69,MERBOK,2022-09-11 06:00:00,20.9,159.7,1002,1001.4588012695312,21.5,158.860319666435,1000.6539916992188,21.5,160.0
2022254N21158,2022,69,MERBOK,2022-09-11 12:00:00,20.9,160.4,1000,1003.1922607421875,21.5,159.36066712995134,1001.5973510742188,21.5,160.5
2022254N21158,2022,69,MERBOK,2022-09-11 18:00:00,21.1,161.0,998,1001.5947875976562,21.75,160.11118832522584,999.3471069335938,22.0,161.0
2022254N21158,2022,69,MERBOK,2022-09-12 00:00:00,21.2,161.4,994,1002.9509887695312,22.25,161.1118832522585,1000.395751953125,22.0,161.5
2022254N21158,2022,69,MERBOK,2022-09-12 06:00:00,21.8,162.0,992,1001.5942993164062,22.5,161.36205698401668,998.254638671875,22.5,162.0
2022254N21158,2022,69,MERBOK,2022-09-12 12:00:00,22.7,162.7,990,1002.7369384765625,22.75,162.11257817929118,997.3651733398438,23.0,163.0
2022254N21158,2022,69,MERBOK,2022-09-12 18:00:00,23.2,163.2,985,1001.4723510742188,23.0,162.11257817929118,993.8733520507812,24.0,163.0
2022254N21158,2022,69,MERBOK,2022-09-13 00:00:00,23.9,163.3,985,1003.1941528320312,23.75,162.61292564280748,992.2655639648438,24.5,163.0
2022254N21158,2022,69,MERBOK,2022-09-13 06:00:00,24.8,163.2,985,1001.6200561523438,24.5,162.61292564280748,990.366943359375,25.5,162.5
2022254N21158,2022,69,MERBOK,2022-09-13 12:00:00,25.9,163.0,980,1002.5617065429688,25.25,162.36275191104932,988.5282592773438,26.0,162.5
2022254N21158,2022,69,MERBOK,2022-09-13 18:00:00,26.8,162.3,975,1000.8529052734375,26.5,162.11257817929118,984.5172729492188,27.0,162.5
2022254N21158,2022,69,MERBOK,2022-09-14 00:00:00,28.3,162.1,975,1000.9598388671875,27.5,162.11257817929118,982.7655639648438,28.5,162.0
2022254N21158,2022,69,MERBOK,2022-09-14 06:00:00,30.0,162.0,970,998.4592895507812,29.0,162.11257817929118,979.6593627929688,30.5,162.0
2022254N21158,2022,69,MERBOK,2022-09-14 12:00:00,32.0,161.9,965,997.3477172851562,31.0,162.11257817929118,977.649169921875,32.0,161.5
2022254N21158,2022,69,MERBOK,2022-09-14 18:00:00,33.8,162.3,965,994.3258666992188,33.0,162.11257817929118,974.453857421875,34.0,161.5
2022254N21158,2022,69,MERBOK,2022-09-15 00:00:00,36.6,164.3,965,994.7535400390625,35.0,163.61362056984015,970.946044921875,36.0,162.5
2022254N21158,2022,69,MERBOK,2022-09-15 06:00:00,41.4,166.8,960,1004.7588500976562,35.0,163.61362056984015,964.771240234375,39.0,164.0
2022254N21158,2022,69,MERBOK,2022-09-15 12:00:00,45.3,167.8,956,1010.3981323242188,35.0,163.61362056984015,963.994140625,42.5,165.5
2022254N21158,2022,69,MERBOK,2022-09-15 18:00:00,48.6,170.0,954,1011.947998046875,35.0,163.86379430159832,965.7647705078125,45.0,167.0
2022254N21158,2022,69,MERBOK,2022-09-16 00:00:00,51.5,172.7,952,1014.387451171875,31.25,162.11257817929118,968.7254028320312,47.0,169.0
2022254N21158,2022,69,MERBOK,2022-09-16 06:00:00,54.8,175.4,948,1010.1310424804688,27.25,158.61014593467684,968.5745849609375,48.5,173.0
2022254N21158,2022,69,MERBOK,2022-09-16 12:00:00,56.6,177.3,940,1007.9908447265625,24.75,157.85962473940236,975.1080322265625,51.0,177.0
2022247N26147,2022,66,MUIFA,2022-09-10 12:00:00,21.7,125.5,965,,21.7,125.5,986.2550048828125,21.5,125.5
2022247N26147,2022,66,MUIFA,2022-09-10 18:00:00,22.2,124.9,960,990.693359375,22.25,125.0868658790827,984.696533203125,22.0,125.0
2022247N26147,2022,66,MUIFA,2022-09-11 00:00:00,22.6,124.5,950,989.7759399414062,23.0,124.33634468380819,984.600341796875,22.5,124.5
2022247N26147,2022,66,MUIFA,2022-09-11 06:00:00,22.9,124.4,950,985.6116943359375,23.25,124.08617095205003,980.1740112304688,23.0,124.0
2022247N26147,2022,66,MUIFA,2022-09-11 12:00:00,23.3,124.3,955,987.0343017578125,23.5,124.08617095205003,978.6373291015625,23.5,124.0
2022247N26147,2022,66,MUIFA,2022-09-11 18:00:00,23.7,124.2,965,986.1765747070312,24.0,123.33564975677552,976.6746215820312,24.0,123.5
2022247N26147,2022,66,MUIFA,2022-09-12 00:00:00,24.0,124.2,965,990.0340576171875,24.25,123.08547602501736,976.1907958984375,24.0,123.5
