SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2022264N17132,2022,76,NORU,2022-09-28 00:00:00,15.9,107.8,980,,15.9,107.8,992.1140747070312,15.5,108.0
2022264N17132,2022,76,NORU,2022-09-28 06:00:00,15.8,106.5,990,,15.9,107.8,994.1939697265625,16.0,106.5
2022264N17132,2022,76,NORU,2022-09-28 12:00:00,15.8,105.0,996,,15.9,107.8,996.4358520507812,16.0,105.5
2022264N17132,2022,76,NORU,2022-09-28 18:00:00,15.9,104.7,996,,15.9,107.8,998.4285278320312,16.0,105.5
2022264N17132,2022,76,NORU,2022-09-29 00:00:00,16.0,103.9,998,,15.9,107.8,1000.1478271484375,16.0,104.5
2022264N17132,2022,76,NORU,2022-09-29 06:00:00,16.0,103.3,1000,,15.9,107.8,1000.0130615234375,16.0,104.0
2022270N14136,2022,82,ROKE,2022-09-28 00:00:00,21.0,132.6,1004,,21.0,132.6,1004.8790893554688,21.0,133.0
2022270N14136,2022,82,ROKE,2022-09-28 06:00:00,21.7,132.1,1002,1003.4977416992188,21.75,132.09173036831132,1002.9439697265625,22.0,132.0
2022270N14136,2022,82,ROKE,2022-09-28 12:00:00,23.0,131.7,1000,1005.8141479492188,22.5,131.84155663655315,1004.4708862304688,22.5,131.5
2022270N14136,2022,82,ROKE,2022-09-28 18:00:00,23.9,131.6,998,1004.4541625976562,23.75,131.34120917303682,1002.738525390625,23.5,131.5
2022270N14136,2022,82,ROKE,2022-09-29 00:00:00,25.0,131.7,994,1005.7627563476562,24.5,131.09103544127865,1002.7302856445312,24.5,131.5
2022270N14136,2022,82,ROKE,2022-09-29 06:00:00,25.8,132.2,990,1004.4832763671875,25.5,131.34120917303682,998.9530639648438,25.0,131.5
