SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2022268N20147,2022,80,KULAP,2022-09-25 00:00:00,19.9,147.1,1006,,19.9,147.1,1006.4072875976562,17.0,146.5
2022268N20147,2022,80,KULAP,2022-09-25 06:00:00,20.6,145.8,1004,1004.1082763671875,19.25,145.3509381514941,1004.703857421875,19.0,146.5
2022268N20147,2022,80,KULAP,2022-09-25 12:00:00,21.0,145.0,1004,1005.050048828125,20.25,145.10076441973592,1006.002197265625,21.0,144.0
2022268N20147,2022,80,KULAP,2022-09-25 18:00:00,22.0,144.5,1002,1001.7031860351562,21.75,144.10006949270326,1003.051513671875,22.5,144.0
2022268N20147,2022,80,KULAP,2022-09-26 00:00:00,23.0,143.6,998,1002.24658203125,23.0,143.34954829742875,1003.7079467773438,23.5,143.5
2022268N20147,2022,80,KULAP,2022-09-26 06:00:00,24.2,143.1,996,999.1386108398438,24.25,142.09867963863792,1001.0281372070312,24.5,142.5
2022268N20147,2022,80,KULAP,2022-09-26 12:00:00,25.9,142.4,994,999.86669921875,24.75,141.34815844336345,1002.2142333984375,25.0,141.5
2022268N20147,2022,80,KULAP,2022-09-26 18:00:00,26.9,142.0,990,996.2714233398438,26.0,140.8478109798471,999.326171875,26.0,141.0
2022268N20147,2022,80,KULAP,2022-09-27 00:00:00,27.9,141.6,990,995.0320434570312,27.0,140.0972897845726,999.9439086914062,27.0,141.0
2022268N20147,2022,80,KULAP,2022-09-27 06:00:00,28.9,141.8,990,991.8063354492188,28.0,140.0972897845726,996.947265625,28.0,141.0
2022268N20147,2022,80,KULAP,2022-09-27 12:00:00,29.8,142.5,990,991.9746704101562,29.0,140.59763724808894,996.596435546875,29.0,141.0
2022263N18137,2022,74,TALAS,2022-09-25 00:00:00,34.9,142.2,1012,,34.9,142.2,1012.15478515625,35.0,142.5
2022263N18137,2022,74,TALAS,2022-09-25 06:00:00,35.3,142.8,1012,1011.741943359375,35.0,143.0993745656706,1011.2763061523438,35.0,142.5
2022263N18137,2022,74,TALAS,2022-09-25 12:00:00,35.7,143.2,1014,1013.7932739257812,35.0,143.0993745656706,1013.212158203125,35.0,142.5
2022263N18137,2022,74,TALAS,2022-09-25 18:00:00,36.4,143.5,1014,1013.0962524414062,35.0,143.0993745656706,1012.458984375,36.0,143.0
2022263N18137,2022,74,TALAS,2022-09-26 00:00:00,37.0,143.9,1014,1014.6771850585938,35.0,143.8498957609451,1013.8054809570312,36.5,143.5
2022263N18137,2022,74,TALAS,2022-09-26 06:00:00,37.7,144.6,1012,1013.087890625,35.0,144.10006949270326,1012.203125,36.5,145.0
2022263N18137,2022,74,TALAS,2022-09-26 12:00:00,38.1,145.4,1012,1014.4371948242188,35.0,145.85128561501043,1013.200439453125,39.0,147.0
2022263N18137,2022,74,TALAS,2022-09-26 18:00:00,38.3,146.1,1012,1013.0007934570312,35.0,145.85128561501043,1011.9774169921875,38.5,147.5
2022263N18137,2022,74,TALAS,2022-09-27 00:00:00,38.9,147.8,1012,1013.7650146484375,35.0,146.85198054204307,1012.763916015625,38.0,148.0
2022263N18137,2022,74,TALAS,2022-09-27 06:00:00,39.1,148.1,1010,1011.9412231445312,35.0,147.85267546907573,1011.1610107421875,37.5,148.5
2022263N18137,2022,74,TALAS,2022-09-27 12:00:00,39.5,148.1,1012,1010.1851806640625,31.0,144.35024322446142,1012.3239135742188,38.0,148.0
